combination,k_way,correlation,p_value,abs_correlation,p_fdr_corrected,significant_after_fdr,supports_dvorak
vertical,1,-0.1047053891604186,0.0,0.1047053891604186,0.0,True,True
repetition,1,-0.10062828935537214,0.0,0.10062828935537214,0.0,True,True
adjacent,1,-0.0878252841019293,0.0,0.0878252841019293,0.0,True,True
weak,1,0.0652383121009533,0.0,0.0652383121009533,0.0,True,False
outward,1,0.02411628346839157,0.0,0.02411628346839157,0.0,True,False
horizontal,1,0.01919521166095372,0.0,0.01919521166095372,0.0,True,False
movement,1,-0.0021644678096643197,2.216818057698028e-10,0.0021644678096643197,2.216818057698028e-10,True,True
vertical + adjacent,2,-0.1221020593911326,0.0,0.1221020593911326,0.0,True,True
repetition + vertical,2,-0.10982614034563117,0.0,0.10982614034563117,0.0,True,True
repetition + adjacent,2,-0.10062828935537214,0.0,0.10062828935537214,0.0,True,True
repetition + horizontal,2,-0.09300691531353136,0.0,0.09300691531353136,0.0,True,True
vertical + horizontal,2,-0.09163643364248564,0.0,0.09163643364248564,0.0,True,True
movement + vertical,2,-0.08296525718720499,0.0,0.08296525718720499,0.0,True,True
repetition + movement,2,-0.08025849244646963,0.0,0.08025849244646963,0.0,True,True
horizontal + weak,2,0.0772027659722915,0.0,0.0772027659722915,0.0,True,False
movement + weak,2,0.07453538260453457,0.0,0.07453538260453457,0.0,True,False
repetition + outward,2,-0.06840996372756956,0.0,0.06840996372756956,0.0,True,True
vertical + outward,2,-0.06259017579741906,0.0,0.06259017579741906,0.0,True,True
horizontal + adjacent,2,-0.0427800859117669,0.0,0.0427800859117669,0.0,True,True
weak + outward,2,0.042630904258232294,0.0,0.042630904258232294,0.0,True,False
repetition + weak,2,-0.038621175170333755,0.0,0.038621175170333755,0.0,True,True
vertical + weak,2,-0.03842678673154046,0.0,0.03842678673154046,0.0,True,True
movement + adjacent,2,-0.037222017971353195,0.0,0.037222017971353195,0.0,True,True
horizontal + outward,2,0.03252576936477375,0.0,0.03252576936477375,0.0,True,False
movement + outward,2,0.020677679455710092,0.0,0.020677679455710092,0.0,True,False
adjacent + outward,2,0.011939344562909262,1.9915417663315058e-268,0.011939344562909262,2.0563073522284654e-268,True,False
movement + horizontal,2,0.008578475715429853,1.4227114895846586e-139,0.008578475715429853,1.445474873418013e-139,True,False
adjacent + weak,2,0.004697730459700107,3.742269839252747e-43,0.004697730459700107,3.771970393532531e-43,True,False
vertical + horizontal + adjacent,3,-0.11462921800823934,0.0,0.11462921800823934,0.0,True,True
repetition + vertical + adjacent,3,-0.11335535860438747,0.0,0.11335535860438747,0.0,True,True
repetition + vertical + horizontal,3,-0.10764387994527094,0.0,0.10764387994527094,0.0,True,True
repetition + movement + vertical,3,-0.10268711601530249,0.0,0.10268711601530249,0.0,True,True
movement + vertical + adjacent,3,-0.09819779634896819,0.0,0.09819779634896819,0.0,True,True
repetition + horizontal + adjacent,3,-0.09300691531353136,0.0,0.09300691531353136,0.0,True,True
repetition + movement + adjacent,3,-0.08091537767279543,0.0,0.08091537767279543,0.0,True,True
movement + horizontal + weak,3,0.07822025481888754,0.0,0.07822025481888754,0.0,True,False
repetition + vertical + outward,3,-0.07324609857622912,0.0,0.07324609857622912,0.0,True,True
movement + vertical + horizontal,3,-0.07120949256812134,0.0,0.07120949256812134,0.0,True,True
vertical + adjacent + outward,3,-0.07047029937877329,0.0,0.07047029937877329,0.0,True,True
repetition + movement + horizontal,3,-0.06985426106622727,0.0,0.06985426106622727,0.0,True,True
repetition + adjacent + outward,3,-0.06840996372756956,0.0,0.06840996372756956,0.0,True,True
repetition + vertical + weak,3,-0.06730326541527205,0.0,0.06730326541527205,0.0,True,True
vertical + adjacent + weak,3,-0.06472799388940476,0.0,0.06472799388940476,0.0,True,True
vertical + horizontal + outward,3,-0.055318405838560736,0.0,0.055318405838560736,0.0,True,True
repetition + horizontal + outward,3,-0.05391338059262968,0.0,0.05391338059262968,0.0,True,True
horizontal + weak + outward,3,0.05329348077539022,0.0,0.05329348077539022,0.0,True,False
repetition + movement + outward,3,-0.04983304619477951,0.0,0.04983304619477951,0.0,True,True
movement + vertical + outward,3,-0.048919383660606164,0.0,0.048919383660606164,0.0,True,True
repetition + movement + weak,3,-0.04802286910611652,0.0,0.04802286910611652,0.0,True,True
movement + weak + outward,3,0.046941110320116004,0.0,0.046941110320116004,0.0,True,False
repetition + adjacent + weak,3,-0.04478996685767574,0.0,0.04478996685767574,0.0,True,True
movement + vertical + weak,3,-0.04223850003448706,0.0,0.04223850003448706,0.0,True,True
vertical + horizontal + weak,3,-0.0415234011619711,0.0,0.0415234011619711,0.0,True,True
repetition + horizontal + weak,3,-0.03704081926822215,0.0,0.03704081926822215,0.0,True,True
movement + horizontal + adjacent,3,-0.02919232460365626,0.0,0.02919232460365626,0.0,True,True
adjacent + weak + outward,3,0.027469937387030314,0.0,0.027469937387030314,0.0,True,False
movement + horizontal + outward,3,0.025990850552853346,0.0,0.025990850552853346,0.0,True,False
vertical + weak + outward,3,-0.02456658845140377,0.0,0.02456658845140377,0.0,True,True
horizontal + adjacent + outward,3,0.022662248155733044,0.0,0.022662248155733044,0.0,True,False
repetition + weak + outward,3,-0.016639330466052687,0.0,0.016639330466052687,0.0,True,True
movement + adjacent + outward,3,0.012343418870448947,9.326101427313769e-287,0.012343418870448947,9.788552737759081e-287,True,False
movement + adjacent + weak,3,0.012145320351475863,1.0762365429897404e-277,0.012145320351475863,1.1203445980303035e-277,True,False
horizontal + adjacent + weak,3,0.01060386592315963,3.5075399863375406e-212,0.01060386592315963,3.592399824716675e-212,True,False
repetition + vertical + horizontal + adjacent,4,-0.11310490047979896,0.0,0.11310490047979896,0.0,True,True
repetition + movement + vertical + adjacent,4,-0.10600420288917735,0.0,0.10600420288917735,0.0,True,True
repetition + movement + vertical + horizontal,4,-0.09871234928503062,0.0,0.09871234928503062,0.0,True,True
movement + vertical + horizontal + adjacent,4,-0.09127240092134556,0.0,0.09127240092134556,0.0,True,True
repetition + vertical + adjacent + outward,4,-0.07671981402114515,0.0,0.07671981402114515,0.0,True,True
repetition + movement + vertical + outward,4,-0.0747971546274477,0.0,0.0747971546274477,0.0,True,True
repetition + vertical + adjacent + weak,4,-0.0733304344169976,0.0,0.0733304344169976,0.0,True,True
repetition + vertical + horizontal + outward,4,-0.0720801847540836,0.0,0.0720801847540836,0.0,True,True
repetition + movement + vertical + weak,4,-0.07179486717007551,0.0,0.07179486717007551,0.0,True,True
vertical + horizontal + adjacent + weak,4,-0.07127095857656528,0.0,0.07127095857656528,0.0,True,True
repetition + movement + horizontal + adjacent,4,-0.07088360835938598,0.0,0.07088360835938598,0.0,True,True
repetition + vertical + horizontal + weak,4,-0.06755494583995003,0.0,0.06755494583995003,0.0,True,True
movement + vertical + adjacent + weak,4,-0.0657039570359694,0.0,0.0657039570359694,0.0,True,True
vertical + horizontal + adjacent + outward,4,-0.06368020352053026,0.0,0.06368020352053026,0.0,True,True
movement + vertical + adjacent + outward,4,-0.055797463396113404,0.0,0.055797463396113404,0.0,True,True
movement + horizontal + weak + outward,4,0.05548851563530301,0.0,0.05548851563530301,0.0,True,False
repetition + movement + adjacent + weak,4,-0.05392249149537183,0.0,0.05392249149537183,0.0,True,True
repetition + horizontal + adjacent + outward,4,-0.05391338059262968,0.0,0.05391338059262968,0.0,True,True
repetition + movement + adjacent + outward,4,-0.050342840350141485,0.0,0.050342840350141485,0.0,True,True
repetition + horizontal + adjacent + weak,4,-0.04399037826694332,0.0,0.04399037826694332,0.0,True,True
movement + vertical + horizontal + outward,4,-0.042288237047968504,0.0,0.042288237047968504,0.0,True,True
repetition + movement + horizontal + weak,4,-0.039978254902564216,0.0,0.039978254902564216,0.0,True,True
horizontal + adjacent + weak + outward,4,0.038682203587480764,0.0,0.038682203587480764,0.0,True,False
movement + vertical + horizontal + weak,4,-0.03699809834681747,0.0,0.03699809834681747,0.0,True,True
repetition + movement + horizontal + outward,4,-0.03488178215231674,0.0,0.03488178215231674,0.0,True,True
repetition + vertical + weak + outward,4,-0.03455116426442787,0.0,0.03455116426442787,0.0,True,True
vertical + adjacent + weak + outward,4,-0.03404922948442031,0.0,0.03404922948442031,0.0,True,True
movement + adjacent + weak + outward,4,0.03226116363422491,0.0,0.03226116363422491,0.0,True,False
movement + vertical + weak + outward,4,-0.03012359704708029,0.0,0.03012359704708029,0.0,True,True
repetition + movement + weak + outward,4,-0.027685108274759836,0.0,0.027685108274759836,0.0,True,True
vertical + horizontal + weak + outward,4,-0.02699639514375582,0.0,0.02699639514375582,0.0,True,True
repetition + adjacent + weak + outward,4,-0.02212786751461448,0.0,0.02212786751461448,0.0,True,True
movement + horizontal + adjacent + weak,4,0.018980417843904415,0.0,0.018980417843904415,0.0,True,False
movement + horizontal + adjacent + outward,4,0.018007606232554454,0.0,0.018007606232554454,0.0,True,False
repetition + horizontal + weak + outward,4,-0.01525893750255191,0.0,0.01525893750255191,0.0,True,True
repetition + movement + vertical + horizontal + adjacent,5,-0.10331386277546942,0.0,0.10331386277546942,0.0,True,True
repetition + movement + vertical + adjacent + outward,5,-0.07788415438612589,0.0,0.07788415438612589,0.0,True,True
repetition + movement + vertical + adjacent + weak,5,-0.07726795491108335,0.0,0.07726795491108335,0.0,True,True
repetition + vertical + horizontal + adjacent + outward,5,-0.07574728892654756,0.0,0.07574728892654756,0.0,True,True
repetition + vertical + horizontal + adjacent + weak,5,-0.07469152406538608,0.0,0.07469152406538608,0.0,True,True
repetition + movement + vertical + horizontal + weak,5,-0.07224408013669371,0.0,0.07224408013669371,0.0,True,True
repetition + movement + vertical + horizontal + outward,5,-0.0688103631702277,0.0,0.0688103631702277,0.0,True,True
movement + vertical + horizontal + adjacent + weak,5,-0.0651134520702341,0.0,0.0651134520702341,0.0,True,True
movement + vertical + horizontal + adjacent + outward,5,-0.0498475444441406,0.0,0.0498475444441406,0.0,True,True
repetition + movement + horizontal + adjacent + weak,5,-0.04618456054192449,0.0,0.04618456054192449,0.0,True,True
repetition + movement + vertical + weak + outward,5,-0.04335643014483273,0.0,0.04335643014483273,0.0,True,True
movement + horizontal + adjacent + weak + outward,5,0.04175865705852434,0.0,0.04175865705852434,0.0,True,False
repetition + vertical + adjacent + weak + outward,5,-0.040216214753126395,0.0,0.040216214753126395,0.0,True,True
movement + vertical + adjacent + weak + outward,5,-0.0395557416891739,0.0,0.0395557416891739,0.0,True,True
repetition + vertical + horizontal + weak + outward,5,-0.03757969984170921,0.0,0.03757969984170921,0.0,True,True
vertical + horizontal + adjacent + weak + outward,5,-0.03747733320436259,0.0,0.03747733320436259,0.0,True,True
repetition + movement + horizontal + adjacent + outward,5,-0.03537564694887477,0.0,0.03537564694887477,0.0,True,True
repetition + movement + adjacent + weak + outward,5,-0.032348501166940664,0.0,0.032348501166940664,0.0,True,True
movement + vertical + horizontal + weak + outward,5,-0.026131152803169813,0.0,0.026131152803169813,0.0,True,True
repetition + horizontal + adjacent + weak + outward,5,-0.020298255010681953,0.0,0.020298255010681953,0.0,True,True
repetition + movement + horizontal + weak + outward,5,-0.019199887429812296,0.0,0.019199887429812296,0.0,True,True
repetition + movement + vertical + horizontal + adjacent + weak,6,-0.07871378700176596,0.0,0.07871378700176596,0.0,True,True
repetition + movement + vertical + horizontal + adjacent + outward,6,-0.07210682782200417,0.0,0.07210682782200417,0.0,True,True
repetition + movement + vertical + adjacent + weak + outward,6,-0.04863638678396513,0.0,0.04863638678396513,0.0,True,True
repetition + movement + vertical + horizontal + weak + outward,6,-0.045961249751332756,0.0,0.045961249751332756,0.0,True,True
repetition + vertical + horizontal + adjacent + weak + outward,6,-0.04367135092355371,0.0,0.04367135092355371,0.0,True,True
movement + vertical + horizontal + adjacent + weak + outward,6,-0.03603751202209595,0.0,0.03603751202209595,0.0,True,True
repetition + movement + horizontal + adjacent + weak + outward,6,-0.02335116674978969,0.0,0.02335116674978969,0.0,True,True
repetition + movement + vertical + horizontal + adjacent + weak + outward,7,-0.051572331114391516,0.0,0.051572331114391516,0.0,True,True
