combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
dont_cross_home + columns,2,0.6810330574253655,1.7947111429631847e-84,0.6810330574253655,True,9.170973940541875e-82,True
dont_cross_home + columns + strong_fingers,3,0.6078926416809092,5.266390797023033e-63,0.6078926416809092,True,1.345562848639385e-60,True
dont_cross_home + home_row + columns,3,0.5939874906140081,1.5534171395760754e-59,0.5939874906140081,True,2.0514187368003156e-57,True
dont_cross_home + same_row + home_row + columns + strong_fingers,5,0.5939283182332499,1.605807230372067e-59,0.5939283182332499,True,2.0514187368003156e-57,True
dont_cross_home + same_row + home_row + columns,4,0.5893875037209586,2.005823071248837e-58,0.5893875037209586,True,2.0499511788163115e-56,True
dont_cross_home + home_row + columns + strong_fingers,4,0.5860756286473824,1.2337303864726488e-57,0.5860756286473824,True,1.0507270458125394e-55,True
dont_cross_home + same_row + columns,3,0.5567286771146228,5.0347880127619883e-51,0.5567286771146228,True,3.675395249316252e-49,True
dont_cross_home + same_row + columns + strong_fingers,4,0.548954981086347,2.2133693454471313e-49,0.548954981086347,True,1.413789669404355e-47,True
same_row + home_row + columns + strong_fingers,4,0.5423475576142632,5.106550257707195e-48,0.5423475576142632,True,2.89938575743153e-46,True
fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,6,0.5348853571532922,1.6277393641499018e-46,0.5348853571532922,True,8.317748150805998e-45,True
fingers + dont_cross_home + same_row + home_row + columns,5,0.5334662180883749,3.1137096688158148e-46,0.5334662180883749,True,1.4464596734226195e-44,True
same_row + home_row + columns,3,0.516850355890625,4.944131079174396e-43,0.516850355890625,True,2.0464757072051142e-41,True
fingers + dont_cross_home + home_row + columns + strong_fingers,5,0.5167305658924816,5.2062982766470615e-43,0.5167305658924816,True,2.0464757072051142e-41,True
fingers + dont_cross_home + home_row + columns,4,0.5066604607391314,3.7266808223696807e-41,0.5066604607391314,True,1.3602385001649335e-39,True
dont_cross_home + same_row + home_row + columns + strum + strong_fingers,6,0.49910537618980694,8.37157190054274e-40,0.49910537618980694,True,2.8487970874637163e-38,True
dont_cross_home + same_row + home_row + columns + strum,5,0.49894936419257035,8.919912602626117e-40,0.49894936419257035,True,2.8487970874637163e-38,True
fingers + dont_cross_home + columns,3,0.49879374267424414,9.50235090349861e-40,0.49879374267424414,True,2.856294889228112e-38,True
fingers + dont_cross_home + same_row + columns,4,0.49439710560329236,5.599095386946149e-39,0.49439710560329236,True,1.5895209681830458e-37,True
fingers + dont_cross_home + columns + strong_fingers,4,0.49075905427416733,2.3828265801866904e-38,0.49075905427416733,True,6.408549381449468e-37,True
fingers + dont_cross_home + same_row + columns + strong_fingers,5,0.48570226124065674,1.733360756514232e-37,0.48570226124065674,True,4.428736732893863e-36,True
fingers + same_row + home_row + columns + strong_fingers,5,0.469941629752016,6.829353088411039e-35,0.469941629752016,True,1.661809251513353e-33,True
home_row + columns + strong_fingers,3,0.46657557400046396,2.351879439903682e-34,0.46657557400046396,True,5.4627745172308254e-33,True
dont_cross_home,1,0.4601666049543933,2.3853850586409765e-33,0.4601666049543933,True,5.299703325937127e-32,True
skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,6,0.45767344618924954,5.7974020618973126e-33,0.45767344618924954,True,1.2343635223456363e-31,True
dont_cross_home + home_row + columns + strum + strong_fingers,5,0.4519453713110001,4.338726202860729e-32,0.4519453713110001,True,8.86835635864733e-31,True
dont_cross_home + same_row + columns + strum,4,0.44941188909207164,1.0440527752018627e-31,0.44941188909207164,True,2.0519652620313534e-30,True
skip_fingers + dont_cross_home + same_row + home_row + columns,5,0.44861314564918786,1.3749693714906437e-31,0.44861314564918786,True,2.602256847524885e-30,True
dont_cross_home + home_row + columns + strum,4,0.4476682884717215,1.9025151758968747e-31,0.4476682884717215,True,3.472090196011797e-30,True
fingers + same_row + home_row + columns,4,0.4421963239787219,1.2231057258753966e-30,0.4421963239787219,True,2.155196641111475e-29,True
dont_cross_home + same_row + columns + strum + strong_fingers,5,0.4401330620881649,2.4456006575228454e-30,0.4401330620881649,True,4.1488684444221914e-29,True
dont_cross_home + same_row + home_row,3,0.4400471528926309,2.516926062173932e-30,0.4400471528926309,True,4.1488684444221914e-29,True
same_row + home_row + columns + strum + strong_fingers,5,0.43622242302774067,8.976450049897163e-30,0.43622242302774067,True,1.4334268673429532e-28,True
home_row + columns,2,0.4357932382471289,1.034271905804792e-29,0.4357932382471289,True,1.6015543753522688e-28,True
same_row + home_row,2,0.4290873080142296,9.218892627867108e-29,0.4290873080142296,True,1.3855453331882626e-27,True
dont_cross_home + same_row + home_row + strong_fingers,4,0.4240439761948316,4.626827266158762e-28,0.4240439761948316,True,6.755167808591792e-27,True
fingers + dont_cross_home + same_row + home_row + columns + strum,6,0.4201476017019879,1.5794585008260725e-27,0.4201476017019879,True,2.2419535942281197e-26,True
fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,7,0.4195704462647908,1.891915014758254e-27,0.4195704462647908,True,2.612888033895859e-26,True
