combination,k_way,correlation,p_value,abs_correlation,p_fdr_corrected,significant_after_fdr,supports_dvorak
hands + fingers + home_row + strong_fingers,4,-0.20164768217124276,0.0,0.20164768217124276,0.0,True,True
hands + fingers + skip_fingers + home_row + strong_fingers,5,-0.20103443903369717,0.0,0.20103443903369717,0.0,True,True
hands + fingers + skip_fingers + home_row,4,-0.19747458471297277,0.0,0.19747458471297277,0.0,True,True
hands + fingers + home_row,3,-0.196666998172726,0.0,0.196666998172726,0.0,True,True
hands + fingers + home_row + strum + strong_fingers,5,-0.19630786555590096,0.0,0.19630786555590096,0.0,True,True
hands + fingers + skip_fingers + home_row + strum + strong_fingers,6,-0.19583526705876295,0.0,0.19583526705876295,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,7,-0.19248325556167617,0.0,0.19248325556167617,0.0,True,True
hands + fingers + skip_fingers + home_row + strum,5,-0.1918616773721932,0.0,0.1918616773721932,0.0,True,True
hands + fingers + home_row + strum,4,-0.1911299463572769,0.0,0.1911299463572769,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row + strong_fingers,6,-0.19025923367349185,0.0,0.19025923367349185,0.0,True,True
hands + fingers + dont_cross_home + home_row + strum + strong_fingers,6,-0.18969840402898003,0.0,0.18969840402898003,0.0,True,True
hands + fingers,2,-0.18958799298586781,0.0,0.18958799298586781,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row + strum,6,-0.18942734127930164,0.0,0.18942734127930164,0.0,True,True
hands + fingers + dont_cross_home + home_row + strong_fingers,5,-0.18858248044228498,0.0,0.18858248044228498,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row,5,-0.1878957308022422,0.0,0.1878957308022422,0.0,True,True
hands + fingers + dont_cross_home + home_row + strum,5,-0.18737252162855283,0.0,0.18737252162855283,0.0,True,True
hands + skip_fingers + home_row + strum + strong_fingers,5,-0.1870677621309583,0.0,0.1870677621309583,0.0,True,True
hands + skip_fingers + home_row + strum,4,-0.18655882133061055,0.0,0.18655882133061055,0.0,True,True
fingers + skip_fingers + home_row + strong_fingers,4,-0.18580532860741003,0.0,0.18580532860741003,0.0,True,True
hands + fingers + dont_cross_home + home_row,4,-0.18575159275155936,0.0,0.18575159275155936,0.0,True,True
fingers,1,-0.18482676554075458,0.0,0.18482676554075458,0.0,True,True
hands + skip_fingers + home_row,3,-0.1848011607011827,0.0,0.1848011607011827,0.0,True,True
fingers + skip_fingers + home_row + strum + strong_fingers,5,-0.18474534162820241,0.0,0.18474534162820241,0.0,True,True
hands + home_row + strum + strong_fingers,4,-0.1825404923634585,0.0,0.1825404923634585,0.0,True,True
hands + home_row + strum,3,-0.18202362858248655,0.0,0.18202362858248655,0.0,True,True
hands + skip_fingers + home_row + strong_fingers,4,-0.18189047316436838,0.0,0.18189047316436838,0.0,True,True
fingers + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,6,-0.18138719741833934,0.0,0.18138719741833934,0.0,True,True
hands + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,6,-0.1800440124360612,0.0,0.1800440124360612,0.0,True,True
