letter_pair,count,normalized_frequency
th,100000000000,1
he,86697336727,0.931042309115242
in,68595215308,0.82804339705559
er,57754162106,0.759711617990871
an,55974567611,0.747899268441765
re,52285662239,0.722799880123478
on,49570981965,0.703758447768955
at,41920838452,0.647095908359241
en,41004903554,0.639976177386527
nd,38129777631,0.617094799466314
ti,37856196209,0.614873241617706
es,37766388079,0.61414222540332
or,35994097756,0.599534204988333
te,33973261529,0.582431464150604
of,33130341561,0.575147647155683
ed,32937140633,0.573465155839422
is,31817918249,0.563619768830435
it,31672532308,0.562328235765709
al,30662410438,0.553271758826789
ar,30308513014,0.550063607236307
st,29704461829,0.544544183965805
to,29360205581,0.541373471711329
nt,29359771944,0.541369466085046
ng,26871805511,0.517878668021412
se,26282488562,0.51215698934266
ha,26103411208,0.510405646642558
as,24561944198,0.495074805166573
ou,24531132241,0.49476352875044
io,23542263265,0.484667597983603
le,23382173640,0.483013347304892
ve,23270129573,0.481852193712664
co,22384167777,0.472570405660124
me,22360109325,0.472315818799968
de,21565300071,0.463826754570204
hi,21520845924,0.46334737386281
ri,20516398905,0.452380623690443
ro,20491179118,0.45210185344843
ic,19701195496,0.443281128759305
ne,19504235770,0.441054526112482
ea,19403941063,0.439916387987665
ra,19332539912,0.43910433877035
ce,18367773425,0.427981328817418
li,17604626629,0.418974231565616
ch,16854985236,0.409934384129631
ll,16257360474,0.402582674711222
be,16249257887,0.402482080069728
ma,15938689768,0.398607253047751
si,15509759748,0.393193057216112
om,15402602484,0.391828809582774
ur,15303657594,0.390564895627966
ca,15174413181,0.38890776762909
el,14952716079,0.386048721795359
ta,14941000711,0.385897050630314
la,14874551789,0.385035652715991
ns,14350320288,0.378171272804781
di,13899990598,0.372173779137055
fo,13753006196,0.370195266998289
ho,13672603513,0.369108516371559
pe,13477683504,0.366460570851135
ec,13457763533,0.366188887093778
pr,13378480175,0.365105562298137
no,13099447521,0.361267110420474
ct,12997849406,0.359859359736933
us,12808517567,0.35722120552627
ac,12625666388,0.354654779776844
ot,12465822481,0.352396009258809
il,12167821320,0.348145914532992
tr,12006693396,0.345826216906227
ly,11983948242,0.34549751287076
nc,11722631112,0.34169844487535
et,11634161334,0.340402680150476
ut,11423899818,0.337303192220353
ss,11421755201,0.337271431892659
so,11214705934,0.334191004262337
rs,11180732354,0.33368284634961
un,11121118166,0.332789300982022
lo,10908830081,0.32958774603869
wa,10865206430,0.328926002374418
ge,10861045622,0.328862816164178
ie,10845731320,0.328630148194724
wh,10680697684,0.326112316474631
ee,10647199443,0.325598881847333
wi,10557401491,0.3242185313027
em,10536054813,0.323889533105557
ad,10375130449,0.321398538833778
ol,10305660447,0.320317225920608
rt,10198055461,0.318635114963282
po,10189505383,0.31850107802827
we,10176141608,0.318291465561074
na,9790855551,0.312187892213535
ul,9751225781,0.311553331173892
ni,9564648232,0.30854833236622
ts,9516029773,0.307760485743331
mo,9498813191,0.307481014166339
ow,9318366591,0.30453650123603
pa,9123652775,0.301327014240158
im,8959759181,0.298598895383213
mi,8957825538,0.298566560328524
ai,8922759715,0.297979570713966
sh,8888705287,0.297408406479469
ir,8886799024,0.297376402138346
su,8774129154,0.295478646555493
