key,comfort_score,SD,CI_low,CI_high
F,1.0,0.058158517285156,0.267644731837173,0.497494291449672
D,0.6887176811232274,0.0431720736215656,0.185144227970089,0.355026393019441
E,0.26158811835105816,0.0167105672976711,0.0683313862915886,0.13575866901111
S,0.2217843423668521,0.0173792764304194,0.053468661301092,0.122658907636627
V,0.12370334885589777,0.0085228733752459,0.0332331610216793,0.0657653264824837
R,0.11292872673793028,0.0083883031457115,0.0292728150932226,0.0619145424439323
W,0.08382338847652349,0.0071565068809631,0.0215473777287867,0.0488945945797949
A,0.0718437142897431,0.0067812050452854,0.0178414473329544,0.0445492444374006
C,0.04208818089121666,0.0051685199850184,0.0099686955781635,0.0295953190252717
Q,0.006846941931622858,0.0017775432051267,0.0025188457626756,0.0092002675358835
Z,0.005548501452261138,0.0015820239432206,0.002302980152417,0.0084918419036814
X,0.0,0.0009694710939892,0.0013311673708673,0.0051289432843888
J,1.0,0.058158517285156,0.267644731837173,0.497494291449672
K,0.6887176811232274,0.0431720736215656,0.185144227970089,0.355026393019441
I,0.26158811835105816,0.0167105672976711,0.0683313862915886,0.13575866901111
L,0.2217843423668521,0.0173792764304194,0.053468661301092,0.122658907636627
M,0.12370334885589777,0.0085228733752459,0.0332331610216793,0.0657653264824837
U,0.11292872673793028,0.0083883031457115,0.0292728150932226,0.0619145424439323
O,0.08382338847652349,0.0071565068809631,0.0215473777287867,0.0488945945797949
;,0.0718437142897431,0.0067812050452854,0.0178414473329544,0.0445492444374006
",",0.04208818089121666,0.0051685199850184,0.0099686955781635,0.0295953190252717
P,0.006846941931622858,0.0017775432051267,0.0025188457626756,0.0092002675358835
/,0.005548501452261138,0.0015820239432206,0.002302980152417,0.0084918419036814
.,0.0,0.0009694710939892,0.0013311673708673,0.0051289432843888
