layout,distance_ignore_cross_hand,distance_scorer_average_travel,distance_scorer_keystroke_count,distance_scorer_max_travel,distance_scorer_min_travel,distance_scorer_primary,distance_scorer_total_travel,distance_text_length,dvorak9_available_comfort_combinations,dvorak9_available_speed_combinations,dvorak9_ignore_cross_hand,dvorak9_scorer_columns,dvorak9_scorer_comfort_weighted_score,dvorak9_scorer_dont_cross_home,dvorak9_scorer_fingers,dvorak9_scorer_frequency_weighted_score,dvorak9_scorer_hands,dvorak9_scorer_home_row,dvorak9_scorer_primary,dvorak9_scorer_pure_dvorak_score,dvorak9_scorer_same_row,dvorak9_scorer_skip_fingers,dvorak9_scorer_speed_weighted_score,dvorak9_scorer_strong_fingers,dvorak9_scorer_strum,dvorak9_theoretical_maximum,engram_alphabet_coverage_24key,engram_alphabet_coverage_32key,engram_home_block_coverage,engram_ignore_cross_hand,engram_layout_size_24key,engram_layout_size_32key,engram_scorer_item_component,engram_scorer_item_component_24key,engram_scorer_item_component_32key,engram_scorer_item_pair_component,engram_scorer_item_pair_component_24key,engram_scorer_item_pair_component_32key,engram_scorer_primary,engram_scorer_total_score_24key,engram_scorer_total_score_32key
layout1,0.000000,13.240339,5.000000,23.600847,0.000000,0.986933,66.201695,5.000000,405.000000,512.000000,0.000000,0.769493,0.139469,0.955593,0.895456,0.672539,0.537102,0.457628,0.103103,0.609118,0.411306,0.694405,0.103103,0.595948,0.735922,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.085192,0.105476,0.085192,0.086142,0.099618,0.086142,0.007339,0.010507,0.007339
layout10,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.806822,0.139499,0.950187,0.875406,0.672686,0.558041,0.482987,0.103126,0.608039,0.382771,0.669754,0.103126,0.595934,0.732269,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089264,0.110518,0.089264,0.087443,0.109496,0.087443,0.007806,0.012101,0.007806
layout100,0.000000,19.383520,5.000000,34.669872,0.000000,0.980985,96.917602,5.000000,405.000000,512.000000,0.000000,0.794939,0.136687,0.965517,0.881638,0.659124,0.483723,0.508833,0.101047,0.607955,0.383088,0.626420,0.101047,0.586082,0.701875,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.086817,0.107488,0.086817,0.085901,0.104592,0.085901,0.007458,0.011242,0.007458
layout100_common,0.000000,19.383520,5.000000,34.669872,0.000000,0.980985,96.917602,5.000000,405.000000,512.000000,0.000000,0.794939,0.136687,0.965517,0.881638,0.659124,0.483723,0.508833,0.101047,0.607955,0.383088,0.626420,0.101047,0.586082,0.701875,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.086817,0.107488,0.086817,0.085901,0.104592,0.085901,0.007458,0.011242,0.007458
layout101,0.000000,19.383520,5.000000,34.669872,0.000000,0.980985,96.917602,5.000000,405.000000,512.000000,0.000000,0.800313,0.136297,0.952488,0.876246,0.657243,0.499023,0.492136,0.100758,0.608952,0.380164,0.630789,0.100758,0.591018,0.693013,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.086333,0.106888,0.086333,0.083499,0.101559,0.083499,0.007209,0.010855,0.007209
layout101_common,0.000000,19.383520,5.000000,34.669872,0.000000,0.980985,96.917602,5.000000,405.000000,512.000000,0.000000,0.800313,0.136297,0.952488,0.876246,0.657243,0.499023,0.492136,0.100758,0.608952,0.380164,0.630789,0.100758,0.591018,0.693013,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.086333,0.106888,0.086333,0.083499,0.101559,0.083499,0.007209,0.010855,0.007209
layout102,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.787463,0.140442,0.950112,0.893806,0.677233,0.545545,0.492623,0.103823,0.608288,0.382519,0.690785,0.103823,0.599940,0.752304,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088890,0.110054,0.088890,0.086245,0.104470,0.086245,0.007666,0.011497,0.007666
layout102_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.787463,0.140442,0.950112,0.893806,0.677233,0.545545,0.492623,0.103823,0.608288,0.382519,0.690785,0.103823,0.599940,0.752304,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088890,0.110054,0.088890,0.086245,0.104470,0.086245,0.007666,0.011497,0.007666
layout103,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.797294,0.141297,0.958310,0.898297,0.681354,0.553816,0.492846,0.104455,0.609118,0.407658,0.694861,0.104455,0.587363,0.741743,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089418,0.110708,0.089418,0.087355,0.105893,0.087355,0.007811,0.011723,0.007811
layout103_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.797294,0.141297,0.958310,0.898297,0.681354,0.553816,0.492846,0.104455,0.609118,0.407658,0.694861,0.104455,0.587363,0.741743,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089418,0.110708,0.089418,0.087355,0.105893,0.087355,0.007811,0.011723,0.007811
