key_pair,engram_avg4_score
'',0.429
"',",0.7335
'.,0.7335
'/,0.3585
';,0.4615
'A,0.9615
'B,0.929
'C,0.9615
'D,0.9615
'E,0.9615
'F,0.9615
'G,0.929
'H,0.8665
'I,0.7335
'J,0.899
'K,0.899
'L,0.899
'M,0.7335
'N,0.701
'O,0.7335
'P,0.3585
'Q,0.9615
'R,0.9615
'S,0.9615
'T,0.929
'U,0.7335
'V,0.9615
'W,0.9615
'X,0.9615
'Y,0.701
'Z,0.9615
'[,0.32599999999999996
",'",0.7335
",,",0.5
",.",0.94475
",/",0.8960625
",;",0.772
",A",1.0
",B",0.9615
",C",1.0
",D",1.0
",E",1.0
",F",1.0
",G",0.9615
",H",0.7335
",I",0.25
",J",0.772
",K",0.397
",L",0.772
",M",1.0
",N",0.899
",O",0.625
",P",0.625
",Q",1.0
",R",1.0
",S",1.0
",T",0.9615
",U",0.625
",V",1.0
",W",1.0
",X",1.0
",Y",0.5865
",Z",1.0
",[",0.5865
.',0.7335
".,",1.0
..,0.5
./,0.94475
.;,0.772
.A,1.0
.B,0.9615
.C,1.0
.D,1.0
.E,1.0
.F,1.0
.G,0.9615
.H,0.7335
.I,0.625
.J,0.772
.K,0.772
.L,0.397
.M,0.9375
.N,0.899
.O,0.25
.P,0.625
.Q,1.0
.R,1.0
.S,1.0
.T,0.9615
.U,0.625
.V,1.0
.W,1.0
.X,1.0
.Y,0.5865
.Z,1.0
.[,0.5865
/',0.3585
"/,",0.9375
/.,1.0
//,0.5
/;,0.397
/A,1.0
/B,0.9615
/C,1.0
/D,1.0
/E,1.0
/F,1.0
/G,0.9615
/H,0.7335
/I,0.625
/J,0.772
/K,0.772
/L,0.772
/M,0.9375
/N,0.899
/O,0.625
/P,0.25
/Q,1.0
/R,1.0
/S,1.0
/T,0.9615
/U,0.625
/V,1.0
/W,1.0
/X,1.0
/Y,0.5865
/Z,1.0
/[,0.2115
;',0.4615
";,",0.772
;.,0.772
;/,0.397
;;,0.5
;A,1.0
;B,0.9615
;C,1.0
;D,1.0
;E,1.0
;F,1.0
;G,0.9615
;H,0.899
;I,0.772
;J,0.9375
;K,0.9375
;L,1.0
;M,0.772
;N,0.7335
;O,0.772
;P,0.397
;Q,1.0
;R,1.0
;S,1.0
;T,0.9615
;U,0.772
;V,1.0
;W,1.0
;X,1.0
;Y,0.7335
;Z,1.0
;[,0.3585
A',0.9615
