key_pair,engram_key_preference
'',0.0
"',",0.205
'.,0.0685
'/,0.0685
';,0.205
'A,0.205
'B,0.0
'C,0.205
'D,0.435
'E,0.323
'F,0.5
'G,0.0
'H,0.0
'I,0.323
'J,0.5
'K,0.435
'L,0.323
'M,0.284
'N,0.0
'O,0.236
'P,0.0685
'Q,0.0685
'R,0.284
'S,0.323
'T,0.0
'U,0.284
'V,0.284
'W,0.236
'X,0.0685
'Y,0.0
'Z,0.0685
'[,0.0
",'",0.205
",,",0.41
",.",0.27349999999999997
",/",0.27349999999999997
",;",0.41
",A",0.41
",B",0.205
",C",0.41
",D",0.64
",E",0.528
",F",0.705
",G",0.205
",H",0.205
",I",0.528
",J",0.705
",K",0.64
",L",0.528
",M",0.489
",N",0.205
",O",0.44099999999999995
",P",0.27349999999999997
",Q",0.27349999999999997
",R",0.489
",S",0.528
",T",0.205
",U",0.489
",V",0.489
",W",0.44099999999999995
",X",0.27349999999999997
",Y",0.205
",Z",0.27349999999999997
",[",0.205
.',0.0685
".,",0.27349999999999997
..,0.137
./,0.137
.;,0.27349999999999997
.A,0.27349999999999997
.B,0.0685
.C,0.27349999999999997
.D,0.5035000000000001
.E,0.3915
.F,0.5685
.G,0.0685
.H,0.0685
.I,0.3915
.J,0.5685
.K,0.5035000000000001
.L,0.3915
.M,0.3525
.N,0.0685
.O,0.3045
.P,0.137
.Q,0.137
.R,0.3525
.S,0.3915
.T,0.0685
.U,0.3525
.V,0.3525
.W,0.3045
.X,0.137
.Y,0.0685
.Z,0.137
.[,0.0685
/',0.0685
"/,",0.27349999999999997
/.,0.137
//,0.137
/;,0.27349999999999997
/A,0.27349999999999997
/B,0.0685
/C,0.27349999999999997
/D,0.5035000000000001
/E,0.3915
/F,0.5685
/G,0.0685
/H,0.0685
/I,0.3915
/J,0.5685
/K,0.5035000000000001
/L,0.3915
/M,0.3525
/N,0.0685
/O,0.3045
/P,0.137
/Q,0.137
/R,0.3525
/S,0.3915
/T,0.0685
/U,0.3525
/V,0.3525
/W,0.3045
/X,0.137
/Y,0.0685
/Z,0.137
/[,0.0685
;',0.205
";,",0.41
;.,0.27349999999999997
;/,0.27349999999999997
;;,0.41
;A,0.41
;B,0.205
;C,0.41
;D,0.64
;E,0.528
;F,0.705
;G,0.205
;H,0.205
;I,0.528
;J,0.705
