key_pair,engram_keys
'',0.0
"',",0.0
'.,0.0
'/,0.0
';,0.0
'A,0.205
'B,0.0
'C,0.205
'D,0.435
'E,0.323
'F,0.5
'G,0.0
'H,0.0
'I,0.0
'J,0.0
'K,0.0
'L,0.0
'M,0.0
'N,0.0
'O,0.0
'P,0.0
'Q,0.0685
'R,0.284
'S,0.323
'T,0.0
'U,0.0
'V,0.284
'W,0.236
'X,0.0685
'Y,0.0
'Z,0.0685
'[,0.0
",'",0.0
",,",0.0
",.",0.0
",/",0.0
",;",0.0
",A",0.205
",B",0.0
",C",0.205
",D",0.435
",E",0.323
",F",0.5
",G",0.0
",H",0.0
",I",0.0
",J",0.0
",K",0.0
",L",0.0
",M",0.0
",N",0.0
",O",0.0
",P",0.0
",Q",0.0685
",R",0.284
",S",0.323
",T",0.0
",U",0.0
",V",0.284
",W",0.236
",X",0.0685
",Y",0.0
",Z",0.0685
",[",0.0
.',0.0
".,",0.0
..,0.0
./,0.0
.;,0.0
.A,0.205
.B,0.0
.C,0.205
.D,0.435
.E,0.323
.F,0.5
.G,0.0
.H,0.0
.I,0.0
.J,0.0
.K,0.0
.L,0.0
.M,0.0
.N,0.0
.O,0.0
.P,0.0
.Q,0.0685
.R,0.284
.S,0.323
.T,0.0
.U,0.0
.V,0.284
.W,0.236
.X,0.0685
.Y,0.0
.Z,0.0685
.[,0.0
/',0.0
"/,",0.0
/.,0.0
//,0.0
/;,0.0
/A,0.205
/B,0.0
/C,0.205
/D,0.435
/E,0.323
/F,0.5
/G,0.0
/H,0.0
/I,0.0
/J,0.0
/K,0.0
/L,0.0
/M,0.0
/N,0.0
/O,0.0
/P,0.0
/Q,0.0685
/R,0.284
/S,0.323
/T,0.0
/U,0.0
/V,0.284
/W,0.236
/X,0.0685
/Y,0.0
/Z,0.0685
/[,0.0
;',0.0
";,",0.0
;.,0.0
;/,0.0
;;,0.0
;A,0.205
;B,0.0
;C,0.205
;D,0.435
;E,0.323
;F,0.5
;G,0.0
;H,0.0
;I,0.0
;J,0.0
;K,0.0
;L,0.0
;M,0.0
;N,0.0
;O,0.0
;P,0.0
;Q,0.0685
;R,0.284
;S,0.323
;T,0.0
;U,0.0
;V,0.284
;W,0.236
;X,0.0685
;Y,0.0
;Z,0.0685
;[,0.0
A',0.205
"A,",0.205
A.,0.205
A/,0.205
A;,0.205
AA,0.41
AB,0.205
AC,0.41
AD,0.64
AE,0.528
AF,0.705
AG,0.205
AH,0.205
AI,0.205
AJ,0.205
AK,0.205
AL,0.205
AM,0.205
AN,0.205
AO,0.205
AP,0.205
AQ,0.27349999999999997
AR,0.489
AS,0.528
AT,0.205
AU,0.205
AV,0.489
