key_pair,engram_position
'',0.0
"',",0.0
'.,0.0
'/,0.0
';,0.0
'A,0.125
'B,0.0
'C,0.125
'D,0.5
'E,0.375
'F,0.5
'G,0.0
'H,0.0
'I,0.0
'J,0.0
'K,0.0
'L,0.0
'M,0.0
'N,0.0
'O,0.0
'P,0.0
'Q,0.0
'R,0.25
'S,0.375
'T,0.0
'U,0.0
'V,0.25
'W,0.125
'X,0.0
'Y,0.0
'Z,0.0
'[,0.0
",'",0.0
",,",0.0
",.",0.0
",/",0.0
",;",0.0
",A",0.125
",B",0.0
",C",0.125
",D",0.5
",E",0.375
",F",0.5
",G",0.0
",H",0.0
",I",0.0
",J",0.0
",K",0.0
",L",0.0
",M",0.0
",N",0.0
",O",0.0
",P",0.0
",Q",0.0
",R",0.25
",S",0.375
",T",0.0
",U",0.0
",V",0.25
",W",0.125
",X",0.0
",Y",0.0
",Z",0.0
",[",0.0
.',0.0
".,",0.0
..,0.0
./,0.0
.;,0.0
.A,0.125
.B,0.0
.C,0.125
.D,0.5
.E,0.375
.F,0.5
.G,0.0
.H,0.0
.I,0.0
.J,0.0
.K,0.0
.L,0.0
.M,0.0
.N,0.0
.O,0.0
.P,0.0
.Q,0.0
.R,0.25
.S,0.375
.T,0.0
.U,0.0
.V,0.25
.W,0.125
.X,0.0
.Y,0.0
.Z,0.0
.[,0.0
/',0.0
"/,",0.0
/.,0.0
//,0.0
/;,0.0
/A,0.125
/B,0.0
/C,0.125
/D,0.5
/E,0.375
/F,0.5
/G,0.0
/H,0.0
/I,0.0
/J,0.0
/K,0.0
/L,0.0
/M,0.0
/N,0.0
/O,0.0
/P,0.0
/Q,0.0
/R,0.25
/S,0.375
/T,0.0
/U,0.0
/V,0.25
/W,0.125
/X,0.0
/Y,0.0
/Z,0.0
/[,0.0
;',0.0
";,",0.0
;.,0.0
;/,0.0
;;,0.0
;A,0.125
;B,0.0
;C,0.125
;D,0.5
;E,0.375
;F,0.5
;G,0.0
;H,0.0
;I,0.0
;J,0.0
;K,0.0
;L,0.0
;M,0.0
;N,0.0
;O,0.0
;P,0.0
;Q,0.0
;R,0.25
;S,0.375
;T,0.0
;U,0.0
;V,0.25
;W,0.125
;X,0.0
;Y,0.0
;Z,0.0
;[,0.0
A',0.125
"A,",0.125
A.,0.125
A/,0.125
A;,0.125
AA,0.25
AB,0.125
AC,0.25
AD,0.625
AE,0.5
AF,0.625
AG,0.125
AH,0.125
AI,0.125
AJ,0.125
AK,0.125
AL,0.125
AM,0.125
AN,0.125
AO,0.125
AP,0.125
AQ,0.125
AR,0.375
AS,0.5
AT,0.125
AU,0.125
AV,0.375
AW,0.25
AX,0.125
AY,0.125
AZ,0.125
