key_pair,engram_same_row
'',0.0
"',",0.5
'.,0.5
'/,0.0
';,0.0
'A,1.0
'B,1.0
'C,1.0
'D,1.0
'E,1.0
'F,1.0
'G,1.0
'H,0.75
'I,0.5
'J,0.75
'K,0.75
'L,0.75
'M,0.5
'N,0.5
'O,0.5
'P,0.0
'Q,1.0
'R,1.0
'S,1.0
'T,1.0
'U,0.5
'V,1.0
'W,1.0
'X,1.0
'Y,0.5
'Z,1.0
'[,0.0
",'",0.5
",,",0.0
",.",0.779
",/",0.58425
",;",0.5
",A",1.0
",B",1.0
",C",1.0
",D",1.0
",E",1.0
",F",1.0
",G",1.0
",H",0.5
",I",0.0
",J",0.5
",K",0.0
",L",0.5
",M",1.0
",N",0.75
",O",0.5
",P",0.5
",Q",1.0
",R",1.0
",S",1.0
",T",1.0
",U",0.5
",V",1.0
",W",1.0
",X",1.0
",Y",0.5
",Z",1.0
",[",0.5
.',0.5
".,",1.0
..,0.0
./,0.779
.;,0.5
.A,1.0
.B,1.0
.C,1.0
.D,1.0
.E,1.0
.F,1.0
.G,1.0
.H,0.5
.I,0.5
.J,0.5
.K,0.5
.L,0.0
.M,0.75
.N,0.75
.O,0.0
.P,0.5
.Q,1.0
.R,1.0
.S,1.0
.T,1.0
.U,0.5
.V,1.0
.W,1.0
.X,1.0
.Y,0.5
.Z,1.0
.[,0.5
/',0.0
"/,",0.75
/.,1.0
//,0.0
/;,0.0
/A,1.0
/B,1.0
/C,1.0
/D,1.0
/E,1.0
/F,1.0
/G,1.0
/H,0.5
/I,0.5
/J,0.5
/K,0.5
/L,0.5
/M,0.75
/N,0.75
/O,0.5
/P,0.0
/Q,1.0
/R,1.0
/S,1.0
/T,1.0
/U,0.5
/V,1.0
/W,1.0
/X,1.0
/Y,0.5
/Z,1.0
/[,0.0
;',0.0
";,",0.5
;.,0.5
;/,0.0
;;,0.0
;A,1.0
;B,1.0
;C,1.0
;D,1.0
;E,1.0
;F,1.0
;G,1.0
;H,0.75
;I,0.5
;J,0.75
;K,0.75
;L,1.0
;M,0.5
;N,0.5
;O,0.5
;P,0.0
;Q,1.0
;R,1.0
;S,1.0
;T,1.0
;U,0.5
;V,1.0
;W,1.0
;X,1.0
;Y,0.5
;Z,1.0
;[,0.0
A',1.0
"A,",1.0
A.,1.0
A/,1.0
A;,1.0
AA,0.0
AB,0.5
AC,0.5
AD,0.75
AE,0.5
AF,0.75
AG,0.75
AH,1.0
AI,1.0
AJ,1.0
AK,1.0
AL,1.0
AM,1.0
AN,1.0
AO,1.0
AP,1.0
AQ,0.0
AR,0.5
AS,1.0
AT,0.5
AU,1.0
AV,0.5
AW,0.5
AX,0.5
AY,1.0
AZ,0.0
A[,1.0
B',1.0
"B,",1.0
B.,1.0
B/,1.0
B;,1.0
BA,0.5
BB,0.0
BC,0.58425
BD,0.5
BE,0.5
BF,0.0
BG,0.0
BH,1.0
BI,1.0
BJ,1.0
BK,1.0
BL,1.0
BM,1.0
BN,1.0
BO,1.0
BP,1.0
BQ,0.5
BR,0.0
BS,0.5
BT,0.0
BU,1.0
BV,0.0
BW,0.5
BX,0.58425
BY,1.0
BZ,0.58425
B[,1.0
C',1.0
"C,",1.0
C.,1.0
C/,1.0
C;,1.0
CA,0.5
CB,0.75
CC,0.0
CD,0.0
CE,0.0
CF,0.5
CG,0.5
CH,1.0
CI,1.0
CJ,1.0
CK,1.0
CL,1.0
CM,1.0
CN,1.0
CO,1.0
CP,1.0
CQ,0.5
CR,0.5
CS,0.5
CT,0.5
CU,1.0
CV,1.0
CW,0.5
CX,0.779
CY,1.0
CZ,0.58425
C[,1.0
