key_triple,engram6_score
''',1.0
"'',",1.9100000000000001
''.,1.33
''/,1.2466666666666666
'';,1.6633333333333333
''A,2.163333333333333
''B,1.83
''C,2.16
''D,2.493333333333333
''E,2.3266666666666667
''F,2.493333333333333
''G,1.83
''H,1.58
''I,2.0766666666666667
''J,2.243333333333333
''K,2.243333333333333
''L,1.9133333333333333
''M,2.0766666666666667
''N,1.58
''O,1.33
''P,1.08
''Q,1.83
''R,2.16
''S,2.163333333333333
''T,1.83
''U,1.9100000000000001
''V,2.3266666666666667
''W,1.83
''X,1.83
''Y,1.58
''Z,1.9966666666666666
''[,0.75
"','",2.16
"',,",2.59
"',.",2.75
"',/",2.6666666666666665
"',;",2.8333333333333335
"',A",4.083333333333333
"',B",3.75
"',C",4.09
"',D",4.423333333333334
"',E",4.256666666666667
"',F",4.423333333333334
"',G",3.75
"',H",3.25
"',I",2.256666666666667
"',J",3.9233333333333333
"',K",2.6733333333333333
"',L",2.5833333333333335
"',M",4.256666666666667
"',N",3.5
"',O",2.0
"',P",2.25
"',Q",3.75
"',R",4.09
"',S",4.083333333333333
"',T",3.75
"',U",3.34
"',V",4.256666666666667
"',W",3.75
"',X",3.75
"',Y",3.0
"',Z",3.9166666666666665
"',[",1.9100000000000001
'.',1.33
"'.,",3.5
'..,1.67
'./,2.336666666666667
'.;,2.0033333333333334
'.A,3.5033333333333334
'.B,3.16
'.C,3.5
'.D,3.8333333333333335
'.E,3.6666666666666665
'.F,3.8333333333333335
'.G,3.16
'.H,2.91
'.I,2.9166666666666665
'.J,3.5833333333333335
'.K,3.3333333333333335
'.L,1.7533333333333334
'.M,3.4166666666666665
'.N,2.91
'.O,1.17
'.P,1.42
'.Q,3.17
'.R,3.5
'.S,3.5033333333333334
'.T,3.16
'.U,3.0
'.V,3.6666666666666665
'.W,3.17
'.X,3.17
'.Y,2.66
'.Z,3.336666666666667
'.[,1.08
'/',0.9966666666666667
"'/,",2.1666666666666665
'/.,2.086666666666667
'//,1.7533333333333334
'/;,1.67
'/A,2.42
'/B,2.0766666666666667
'/C,2.4166666666666665
'/D,2.75
'/E,2.5833333333333335
'/F,2.75
'/G,2.0766666666666667
'/H,1.8266666666666667
'/I,2.0833333333333335
'/J,2.5
'/K,2.5
'/L,1.92
'/M,2.3333333333333335
'/N,1.8266666666666667
'/O,1.3366666666666667
'/P,1.0866666666666667
'/Q,2.086666666666667
'/R,2.4166666666666665
'/S,2.42
'/T,2.0766666666666667
'/U,1.9166666666666667
'/V,2.5833333333333335
'/W,2.086666666666667
'/X,2.086666666666667
'/Y,1.5766666666666667
'/Z,2.2533333333333334
'/[,0.7466666666666667
';',1.6633333333333333
"';,",2.5833333333333335
';.,2.0033333333333334
';/,1.92
';;,2.336666666666667
';A,2.836666666666667
';B,2.493333333333333
';C,2.8333333333333335
';D,3.1666666666666665
';E,3.0
';F,3.1666666666666665
';G,2.493333333333333
';H,2.243333333333333
';I,2.75
';J,2.9166666666666665
';K,2.9166666666666665
';L,2.836666666666667
';M,2.75
';N,2.243333333333333
';O,2.0033333333333334
';P,1.7533333333333334
';Q,2.5033333333333334
';R,2.8333333333333335
';S,2.836666666666667
';T,2.493333333333333
';U,2.5833333333333335
';V,3.0
';W,2.5033333333333334
';X,2.5033333333333334
';Y,2.243333333333333
';Z,2.67
';[,1.4133333333333333
'A',2.663333333333333
"'A,",4.333333333333333
'A.,4.003333333333333
'A/,3.17
'A;,3.336666666666667
'AA,2.836666666666667
'AB,3.743333333333333
'AC,4.083333333333333
'AD,4.416666666666667
'AE,4.25
'AF,4.416666666666667
'AG,3.743333333333333
'AH,3.993333333333333
'AI,4.5
'AJ,4.666666666666667
'AK,4.666666666666667
'AL,4.336666666666667
'AM,4.5
'AN,3.993333333333333
'AO,4.003333333333333
'AP,3.0033333333333334
'AQ,2.2533333333333334
'AR,4.083333333333333
'AS,4.336666666666667
'AT,3.743333333333333
'AU,4.333333333333333
'AV,4.25
'AW,3.5033333333333334
'AX,3.5033333333333334
'AY,3.993333333333333
'AZ,2.42
'A[,2.663333333333333
'B',3.33
"'B,",4.0
'B.,3.66
'B/,3.8266666666666667
'B;,3.993333333333333
'BA,3.243333333333333
'BB,2.17
'BC,3.25
'BD,3.3333333333333335
'BE,2.9166666666666665
'BF,2.5833333333333335
'BG,1.92
'BH,3.67
'BI,4.166666666666667
'BJ,4.333333333333333
'BK,4.333333333333333
'BL,3.993333333333333
'BM,4.166666666666667
'BN,3.67
'BO,3.66
'BP,3.66
'BQ,2.66
'BR,2.0
'BS,3.243333333333333
'BT,1.67
'BU,4.0
'BV,2.6666666666666665
'BW,2.66
'BX,2.91
'BY,3.67
'BZ,3.0766666666666667
'B[,3.33
'C',3.66
"'C,",4.34
'C.,4.0
'C/,4.166666666666667
'C;,4.333333333333333
'CA,3.5833333333333335
'CB,3.75
'CC,2.84
'CD,2.9233333333333333
'CE,2.506666666666667
'CF,4.173333333333334
'CG,3.5
'CH,4.0
'CI,4.506666666666667
'CJ,4.673333333333334
'CK,4.673333333333334
'CL,4.333333333333333
'CM,4.506666666666667
'CN,4.0
'CO,4.0
'CP,4.0
'CQ,3.0
'CR,3.59
'CS,3.3333333333333335
'CT,3.25
'CU,4.34
'CV,4.506666666666667
'CW,2.75
'CX,3.5
'CY,4.0
'CZ,3.4166666666666665
'C[,3.66
'D',3.993333333333333
"'D,",4.673333333333334
'D.,4.333333333333333
'D/,4.5
'D;,4.666666666666667
'DA,3.9166666666666665
'DB,3.8333333333333335
'DC,2.9233333333333333
'DD,3.506666666666667
'DE,3.09
'DF,5.006666666666667
'DG,4.083333333333333
'DH,4.333333333333333
'DI,4.84
'DJ,5.006666666666667
'DK,5.006666666666667
'DL,4.666666666666667
'DM,4.84
'DN,4.333333333333333
'DO,4.333333333333333
'DP,4.333333333333333
'DQ,3.5833333333333335
'DR,4.173333333333334
