key_triple,engram6_columns
''',0.0
"'',",0.5
''.,0.25
''/,0.0
'';,0.0
''A,0.5
''B,0.5
''C,0.5
''D,0.5
''E,0.5
''F,0.5
''G,0.5
''H,0.25
''I,0.5
''J,0.25
''K,0.25
''L,0.25
''M,0.5
''N,0.5
''O,0.25
''P,0.0
''Q,0.5
''R,0.5
''S,0.5
''T,0.5
''U,0.5
''V,0.5
''W,0.5
''X,0.5
''Y,0.5
''Z,0.5
''[,0.0
"','",1.0
"',,",0.5
"',.",1.0
"',/",0.75
"',;",1.0
"',A",1.0
"',B",1.0
"',C",1.0
"',D",1.0
"',E",1.0
"',F",1.0
"',G",1.0
"',H",0.75
"',I",0.5
"',J",0.75
"',K",0.5
"',L",0.75
"',M",1.0
"',N",0.75
"',O",0.75
"',P",1.0
"',Q",1.0
"',R",1.0
"',S",1.0
"',T",1.0
"',U",0.75
"',V",1.0
"',W",1.0
"',X",1.0
"',Y",0.75
"',Z",1.0
"',[",1.0
'.',0.5
"'.,",0.75
'..,0.25
'./,0.75
'.;,0.5
'.A,0.75
'.B,0.75
'.C,0.75
'.D,0.75
'.E,0.75
'.F,0.75
'.G,0.75
'.H,0.75
'.I,0.5
'.J,0.75
'.K,0.5
'.L,0.25
'.M,0.5
'.N,0.5
'.O,0.25
'.P,0.5
'.Q,0.75
'.R,0.75
'.S,0.75
'.T,0.75
'.U,0.75
'.V,0.75
'.W,0.75
'.X,0.75
'.Y,0.75
'.Z,0.75
'.[,0.5
'/',0.0
"'/,",0.25
'/.,0.5
'//,0.0
'/;,0.0
'/A,0.5
'/B,0.5
'/C,0.5
'/D,0.5
'/E,0.5
'/F,0.5
'/G,0.5
'/H,0.5
'/I,0.5
'/J,0.5
'/K,0.5
'/L,0.25
'/M,0.25
'/N,0.25
'/O,0.25
'/P,0.0
'/Q,0.5
'/R,0.5
'/S,0.5
'/T,0.5
'/U,0.5
'/V,0.5
'/W,0.5
'/X,0.5
'/Y,0.5
'/Z,0.5
'/[,0.0
';',0.0
"';,",0.5
';.,0.25
';/,0.0
';;,0.0
';A,0.5
';B,0.5
';C,0.5
';D,0.5
';E,0.5
';F,0.5
';G,0.5
';H,0.25
';I,0.5
';J,0.25
';K,0.25
';L,0.5
';M,0.5
';N,0.5
';O,0.25
';P,0.0
';Q,0.5
';R,0.5
';S,0.5
';T,0.5
';U,0.5
';V,0.5
';W,0.5
';X,0.5
';Y,0.5
';Z,0.5
';[,0.0
'A',1.0
"'A,",1.0
'A.,1.0
'A/,1.0
'A;,1.0
'AA,0.5
'AB,1.0
'AC,1.0
'AD,0.75
'AE,1.0
'AF,0.75
'AG,0.75
'AH,1.0
'AI,1.0
'AJ,1.0
'AK,1.0
'AL,1.0
'AM,1.0
'AN,1.0
'AO,1.0
'AP,1.0
'AQ,0.5
'AR,1.0
'AS,1.0
'AT,1.0
'AU,1.0
'AV,1.0
'AW,0.75
'AX,0.75
'AY,1.0
'AZ,0.5
'A[,1.0
'B',1.0
"'B,",1.0
'B.,1.0
'B/,1.0
'B;,1.0
'BA,1.0
'BB,0.5
'BC,0.75
'BD,0.75
'BE,0.75
'BF,0.5
'BG,0.5
'BH,1.0
'BI,1.0
'BJ,1.0
'BK,1.0
'BL,1.0
'BM,1.0
'BN,1.0
'BO,1.0
'BP,1.0
'BQ,1.0
'BR,0.5
'BS,1.0
'BT,0.5
'BU,1.0
'BV,0.5
'BW,1.0
'BX,0.75
'BY,1.0
'BZ,0.75
'B[,1.0
'C',1.0
"'C,",1.0
'C.,1.0
'C/,1.0
'C;,1.0
'CA,1.0
'CB,0.75
'CC,0.5
