key_triple,engram6_strength
''',0.0
"'',",0.33
''.,0.0
''/,0.0
'';,0.0
''A,0.0
''B,0.33
''C,0.33
''D,0.33
''E,0.33
''F,0.33
''G,0.33
''H,0.33
''I,0.33
''J,0.33
''K,0.33
''L,0.0
''M,0.33
''N,0.33
''O,0.0
''P,0.0
''Q,0.0
''R,0.33
''S,0.0
''T,0.33
''U,0.33
''V,0.33
''W,0.0
''X,0.0
''Y,0.33
''Z,0.0
''[,0.0
"','",0.33
"',,",0.67
"',.",0.33
"',/",0.33
"',;",0.33
"',A",0.33
"',B",0.67
"',C",0.67
"',D",0.67
"',E",0.67
"',F",0.67
"',G",0.67
"',H",0.67
"',I",0.67
"',J",0.67
"',K",0.67
"',L",0.33
"',M",0.67
"',N",0.67
"',O",0.33
"',P",0.33
"',Q",0.33
"',R",0.67
"',S",0.33
"',T",0.67
"',U",0.67
"',V",0.67
"',W",0.33
"',X",0.33
"',Y",0.67
"',Z",0.33
"',[",0.33
'.',0.0
"'.,",0.33
'..,0.0
'./,0.0
'.;,0.0
'.A,0.0
'.B,0.33
'.C,0.33
'.D,0.33
'.E,0.33
'.F,0.33
'.G,0.33
'.H,0.33
'.I,0.33
'.J,0.33
'.K,0.33
'.L,0.0
'.M,0.33
'.N,0.33
'.O,0.0
'.P,0.0
'.Q,0.0
'.R,0.33
'.S,0.0
'.T,0.33
'.U,0.33
'.V,0.33
'.W,0.0
'.X,0.0
'.Y,0.33
'.Z,0.0
'.[,0.0
'/',0.0
"'/,",0.33
'/.,0.0
'//,0.0
'/;,0.0
'/A,0.0
'/B,0.33
'/C,0.33
'/D,0.33
'/E,0.33
'/F,0.33
'/G,0.33
'/H,0.33
'/I,0.33
'/J,0.33
'/K,0.33
'/L,0.0
'/M,0.33
'/N,0.33
'/O,0.0
'/P,0.0
'/Q,0.0
'/R,0.33
'/S,0.0
'/T,0.33
'/U,0.33
'/V,0.33
'/W,0.0
'/X,0.0
'/Y,0.33
'/Z,0.0
'/[,0.0
';',0.0
"';,",0.33
';.,0.0
';/,0.0
';;,0.0
';A,0.0
';B,0.33
';C,0.33
';D,0.33
';E,0.33
';F,0.33
';G,0.33
';H,0.33
';I,0.33
';J,0.33
';K,0.33
';L,0.0
';M,0.33
';N,0.33
';O,0.0
';P,0.0
';Q,0.0
';R,0.33
';S,0.0
';T,0.33
';U,0.33
';V,0.33
';W,0.0
';X,0.0
';Y,0.33
';Z,0.0
';[,0.0
'A',0.0
"'A,",0.33
'A.,0.0
'A/,0.0
'A;,0.0
'AA,0.0
'AB,0.33
'AC,0.33
'AD,0.33
'AE,0.33
'AF,0.33
'AG,0.33
'AH,0.33
'AI,0.33
'AJ,0.33
'AK,0.33
'AL,0.0
'AM,0.33
'AN,0.33
'AO,0.0
'AP,0.0
'AQ,0.0
'AR,0.33
'AS,0.0
'AT,0.33
'AU,0.33
'AV,0.33
'AW,0.0
'AX,0.0
'AY,0.33
'AZ,0.0
'A[,0.0
'B',0.33
"'B,",0.67
'B.,0.33
'B/,0.33
'B;,0.33
'BA,0.33
'BB,0.67
'BC,0.67
'BD,0.67
'BE,0.67
'BF,0.67
'BG,0.67
'BH,0.67
'BI,0.67
'BJ,0.67
'BK,0.67
'BL,0.33
'BM,0.67
'BN,0.67
'BO,0.33
'BP,0.33
'BQ,0.33
'BR,0.67
'BS,0.33
'BT,0.67
'BU,0.67
'BV,0.67
'BW,0.33
'BX,0.33
'BY,0.67
'BZ,0.33
'B[,0.33
'C',0.33
"'C,",0.67
'C.,0.33
'C/,0.33
'C;,0.33
'CA,0.33
'CB,0.67
'CC,0.67
'CD,0.67
'CE,0.67
'CF,0.67
'CG,0.67
'CH,0.67
'CI,0.67
'CJ,0.67
'CK,0.67
'CL,0.33
'CM,0.67
'CN,0.67
'CO,0.33
'CP,0.33
'CQ,0.33
'CR,0.67
'CS,0.33
'CT,0.67
