key_triple,engram6_stretch
''',0.0
"'',",0.33
''.,0.33
''/,0.33
'';,0.33
''A,0.33
''B,0.0
''C,0.33
''D,0.33
''E,0.33
''F,0.33
''G,0.0
''H,0.0
''I,0.33
''J,0.33
''K,0.33
''L,0.33
''M,0.33
''N,0.0
''O,0.33
''P,0.33
''Q,0.33
''R,0.33
''S,0.33
''T,0.0
''U,0.33
''V,0.33
''W,0.33
''X,0.33
''Y,0.0
''Z,0.33
''[,0.0
"','",0.33
"',,",0.67
"',.",0.67
"',/",0.67
"',;",0.67
"',A",0.67
"',B",0.33
"',C",0.67
"',D",0.67
"',E",0.67
"',F",0.67
"',G",0.33
"',H",0.33
"',I",0.67
"',J",0.67
"',K",0.67
"',L",0.67
"',M",0.67
"',N",0.33
"',O",0.67
"',P",0.67
"',Q",0.67
"',R",0.67
"',S",0.67
"',T",0.33
"',U",0.67
"',V",0.67
"',W",0.67
"',X",0.67
"',Y",0.33
"',Z",0.67
"',[",0.33
'.',0.33
"'.,",0.67
'..,0.67
'./,0.67
'.;,0.67
'.A,0.67
'.B,0.33
'.C,0.67
'.D,0.67
'.E,0.67
'.F,0.67
'.G,0.33
'.H,0.33
'.I,0.67
'.J,0.67
'.K,0.67
'.L,0.67
'.M,0.67
'.N,0.33
'.O,0.67
'.P,0.67
'.Q,0.67
'.R,0.67
'.S,0.67
'.T,0.33
'.U,0.67
'.V,0.67
'.W,0.67
'.X,0.67
'.Y,0.33
'.Z,0.67
'.[,0.33
'/',0.33
"'/,",0.67
'/.,0.67
'//,0.67
'/;,0.67
'/A,0.67
'/B,0.33
'/C,0.67
'/D,0.67
'/E,0.67
'/F,0.67
'/G,0.33
'/H,0.33
'/I,0.67
'/J,0.67
'/K,0.67
'/L,0.67
'/M,0.67
'/N,0.33
'/O,0.67
'/P,0.67
'/Q,0.67
'/R,0.67
'/S,0.67
'/T,0.33
'/U,0.67
'/V,0.67
'/W,0.67
'/X,0.67
'/Y,0.33
'/Z,0.67
'/[,0.33
';',0.33
"';,",0.67
';.,0.67
';/,0.67
';;,0.67
';A,0.67
';B,0.33
';C,0.67
';D,0.67
';E,0.67
';F,0.67
';G,0.33
';H,0.33
';I,0.67
';J,0.67
';K,0.67
';L,0.67
';M,0.67
';N,0.33
';O,0.67
';P,0.67
';Q,0.67
';R,0.67
';S,0.67
';T,0.33
';U,0.67
';V,0.67
';W,0.67
';X,0.67
';Y,0.33
';Z,0.67
';[,0.33
'A',0.33
"'A,",0.67
'A.,0.67
'A/,0.67
'A;,0.67
'AA,0.67
'AB,0.33
'AC,0.67
'AD,0.67
'AE,0.67
'AF,0.67
'AG,0.33
'AH,0.33
'AI,0.67
'AJ,0.67
'AK,0.67
'AL,0.67
'AM,0.67
'AN,0.33
'AO,0.67
'AP,0.67
'AQ,0.67
'AR,0.67
'AS,0.67
'AT,0.33
'AU,0.67
'AV,0.67
'AW,0.67
'AX,0.67
'AY,0.33
'AZ,0.67
'A[,0.33
'B',0.0
"'B,",0.33
'B.,0.33
'B/,0.33
'B;,0.33
'BA,0.33
'BB,0.0
'BC,0.33
'BD,0.33
'BE,0.33
'BF,0.33
'BG,0.0
'BH,0.0
'BI,0.33
'BJ,0.33
'BK,0.33
'BL,0.33
'BM,0.33
'BN,0.0
'BO,0.33
'BP,0.33
'BQ,0.33
'BR,0.33
'BS,0.33
'BT,0.0
'BU,0.33
'BV,0.33
'BW,0.33
'BX,0.33
'BY,0.0
'BZ,0.33
'B[,0.0
'C',0.33
"'C,",0.67
'C.,0.67
'C/,0.67
'C;,0.67
'CA,0.67
'CB,0.33
'CC,0.67
'CD,0.67
'CE,0.67
'CF,0.67
'CG,0.33
'CH,0.33
'CI,0.67
'CJ,0.67
'CK,0.67
'CL,0.67
'CM,0.67
'CN,0.33
'CO,0.67
'CP,0.67
'CQ,0.67
'CR,0.67
'CS,0.67
'CT,0.33
