key_pair,comfort_score,uncertainty
'',-1.44226083234643,
"',",-1.30970434459754,
'.,-1.36375844548522,
'/,-1.42856825167182,
';,-1.1086149252012,
'A,-0.586997781982465,
'B,-0.836557121284565,
'C,-0.7938523172540695,
'D,-0.5213340064062361,
'E,-0.5890279012879576,
'F,-0.4488435241878112,
'G,-0.836557121284565,
'H,-1.44226083234643,
'I,-1.25097964652377,
'J,-0.836557121284565,
'K,-0.953483728567417,
'L,-1.03073133807103,
'M,-1.09509871611661,
'N,-1.44226083234643,
'O,-1.30699309128098,
'P,-1.44226083234643,
'Q,-0.7767423633262465,
'R,-0.5890279012879576,
'S,-0.555097756715872,
'T,-0.836557121284565,
'U,-1.24230217125189,
'V,-0.68591784177226,
'W,-0.689814767059513,
'X,-0.828168352023497,
'Y,-1.44226083234643,
'Z,-0.8033287039086205,
'[,-1.44226083234643,
",'",-1.40183220043659,
",,",-0.832472382220129,0.0945705229505314
",.",-1.0937284889927,0.0580767911567327
",/",-1.07901125032972,0.0583279601248588
",;",-0.995078060516953,0.0670292186533918
",A",-0.5442929779519695,
",B",-0.7938523172540695,
",C",-0.751147513223574,
",D",-0.47862920237574047,
",E",-0.546323097257462,
",F",-0.40613872015731567,
",G",-0.7938523172540695,
",H",-1.40183220043659,
",I",-1.07953570971367,0.141974962604982
",J",-0.815792077502715,0.0968114101096948
",K",-0.892972856243515,0.119566277502352
",L",-0.938654065919935,0.0833928218170027
",M",-0.751147513223574,0.0395572886800679
",N",-1.40183220043659,
",O",-1.22126440606548,0.115400996558935
",P",-1.40183220043659,0.102395217333151
",Q",-0.734037559295751,
",R",-0.546323097257462,
",S",-0.5123929526853765,
",T",-0.7938523172540695,
",U",-1.18569590356021,0.134543719186031
",V",-0.6432130377417644,
",W",-0.6471099630290175,
",X",-0.7854635479930014,
",Y",-1.40183220043659,
",Z",-0.760623899878125,
",[",-1.40183220043659,
.',-1.44226083234643,
".,",-0.969863399264579,0.0455411505309935
..,-0.977061260768121,0.0966537405361388
./,-1.147859236363,0.0605093742569436
.;,-1.07563091199878,0.086214681070939
.A,-0.578609012721397,
.B,-0.828168352023497,
.C,-0.7854635479930014,
.D,-0.512945237145168,
.E,-0.5806391320268895,
.F,-0.4404547549267432,
.G,-0.828168352023497,
.H,-1.44226083234643,
.I,-1.25097964652377,0.135016670810931
.J,-0.836557121284565,0.0607879925608578
.K,-0.953483728567417,0.0984454446971345
.L,-1.03073133807103,0.121222585014758
.M,-0.819779582762429,0.0412839750370791
.N,-1.44226083234643,
.O,-1.27400745019855,0.143274213988423
.P,-1.44226083234643,0.118262796631987
.Q,-0.7683535940651784,
.R,-0.5806391320268895,
.S,-0.546708987454804,
.T,-0.828168352023497,
.U,-1.24230217125189,0.107979033093943
.V,-0.677529072511192,
.W,-0.6814259977984449,
.X,-0.819779582762429,
.Y,-1.44226083234643,
.Z,-0.7949399346475525,
.[,-1.44226083234643,
/',-1.41159324937401,
"/,",-0.957512884264827,0.0458605175950678
/.,-1.02630362330353,0.0486047379362064
//,-0.947761608144908,0.098218170230852
/;,-1.08268925415533,0.123247450200076
/A,-0.5537693646065205,
/B,-0.8033287039086205,
/C,-0.760623899878125,
/D,-0.4881055890302915,
/E,-0.5557994839120131,
/F,-0.4156151068118667,
/G,-0.8033287039086205,
/H,-1.41159324937401,
/I,-1.20864703427567,0.108650684200921
/J,-0.770100286532676,0.0539979601397299
/K,-0.890843498408935,0.0634872361230002
/L,-1.00758668436485,0.100532179296818
/M,-0.805279842603763,0.0426668991172165
/N,-1.41159324937401,
/O,-1.30699309128098,0.136545535660167
/P,-1.41159324937401,0.145209673976169
/Q,-0.743513945950302,
/R,-0.5557994839120131,
/S,-0.5218693393399275,
/T,-0.8033287039086205,
/U,-1.15630502746447,0.0971573729625196
/V,-0.6526894243963155,
/W,-0.6565863496835684,
/X,-0.7949399346475525,
/Y,-1.41159324937401,
/Z,-0.770100286532676,
/[,-1.41159324937401,
;',-1.10843212732347,
";,",-0.881420979199174,0.0564626213151252
;.,-0.955015586878007,0.0783196830504571
;/,-1.08382823688735,0.123247320928177
;;,-0.486375452032391,0.0912407291867806
;A,-0.337438442680365,
;B,-0.586997781982465,
;C,-0.5442929779519695,
;D,-0.271774667104136,
;E,-0.3394685619858575,
;F,-0.1992841848857112,
;G,-0.586997781982465,
;H,-1.10843212732347,
;I,-0.75633870526358,0.0585421636516396
;J,-0.337438442680365,0.0223358904348768
;K,-0.380554638329494,0.0269606778185998
;L,-0.405373970428801,0.0320555161784079
;M,-0.725767240387203,0.0511050784077079
;N,-1.10843212732347,
;O,-0.839824857968595,0.0902552882386789
;P,-1.10843212732347,0.131733360156472
;Q,-0.5271830240241465,
;R,-0.3394685619858575,
;S,-0.30553841741377197,
;T,-0.586997781982465,
;U,-0.635980215617818,0.0519713556389214
;V,-0.43635850247015995,
;W,-0.440255427757413,
;X,-0.578609012721397,
;Y,-1.10843212732347,
;Z,-0.5537693646065205,
;[,-1.10843212732347,
A',-0.586997781982465,
"A,",-0.5442929779519695,
A.,-0.578609012721397,
A/,-0.5537693646065205,
A;,-0.337438442680365,
AA,-0.486375452032391,0.0912407291867806
AB,-1.10843212732347,
AC,-0.881420979199174,0.0564626213151252
AD,-0.380554638329494,0.0269606778185998
AE,-0.75633870526358,0.0585421636516396
AF,-0.337438442680365,0.0223358904348768
AG,-1.10843212732347,
AH,-0.586997781982465,
AI,-0.3394685619858575,
AJ,-0.1992841848857112,
AK,-0.271774667104136,
AL,-0.30553841741377197,
AM,-0.43635850247015995,
AN,-0.586997781982465,
AO,-0.440255427757413,
AP,-0.5271830240241465,
AQ,-1.10843212732347,0.131733360156472
