key_pair,distance_setup,distance_interval,distance_return,distance_total
'',19.0,0.0,19.0,38.0
"',",19.0,21.470910553583888,40.47091055358389,80.94182110716778
'.,19.0,21.470910553583888,40.47091055358389,80.94182110716778
'/,19.0,21.02379604162864,21.470910553583888,61.494706595212534
';,19.0,19.0,0.0,38.0
'A,19.0,0.0,19.0,38.0
'B,19.0,34.66987164671943,53.66987164671943,107.33974329343886
'C,19.0,21.470910553583888,40.47091055358389,80.94182110716778
'D,19.0,0.0,19.0,38.0
'E,19.0,19.6468827043885,38.6468827043885,77.293765408777
'F,19.0,0.0,19.0,38.0
'G,19.0,19.0,38.0,76.0
'H,19.0,19.0,38.0,76.0
'I,19.0,19.6468827043885,38.6468827043885,77.293765408777
'J,19.0,0.0,19.0,38.0
'K,19.0,0.0,19.0,38.0
'L,19.0,0.0,19.0,38.0
'M,19.0,21.470910553583888,40.47091055358389,80.94182110716778
'N,19.0,21.02379604162864,40.02379604162864,80.04759208325729
'O,19.0,19.6468827043885,38.6468827043885,77.293765408777
'P,19.0,30.610455730027933,19.6468827043885,69.25733843441644
'Q,19.0,19.6468827043885,38.6468827043885,77.293765408777
'R,19.0,19.6468827043885,38.6468827043885,77.293765408777
'S,19.0,0.0,19.0,38.0
'T,19.0,23.600847442411894,42.60084744241189,85.20169488482378
'U,19.0,19.6468827043885,38.6468827043885,77.293765408777
'V,19.0,21.470910553583888,40.47091055358389,80.94182110716778
'W,19.0,19.6468827043885,38.6468827043885,77.293765408777
'X,19.0,21.470910553583888,40.47091055358389,80.94182110716778
'Y,19.0,30.610455730027933,49.61045573002794,99.22091146005587
'Z,19.0,21.470910553583888,40.47091055358389,80.94182110716778
'[,19.0,19.6468827043885,23.600847442411894,62.24773014680039
",'",21.470910553583888,19.0,40.47091055358389,80.94182110716778
",,",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",.",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",/",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",;",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",A",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",B",21.470910553583888,34.66987164671943,56.14078220030332,112.28156440060664
",C",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",D",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",E",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",F",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",G",21.470910553583888,19.0,40.47091055358389,80.94182110716778
",H",21.470910553583888,19.0,40.47091055358389,80.94182110716778
",I",21.470910553583888,40.85339643163099,19.6468827043885,81.97118968960338
",J",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",K",21.470910553583888,21.470910553583888,0.0,42.941821107167776
",L",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",M",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",N",21.470910553583888,21.02379604162864,42.49470659521253,84.98941319042505
",O",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",P",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",Q",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",R",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",S",21.470910553583888,0.0,21.470910553583888,42.941821107167776
",T",21.470910553583888,23.600847442411894,45.07175799599578,90.14351599199156
",U",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",V",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",W",21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
",X",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",Y",21.470910553583888,30.610455730027933,52.08136628361182,104.16273256722364
",Z",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
",[",21.470910553583888,23.600847442411894,45.07175799599578,90.14351599199156
.',21.470910553583888,19.0,40.47091055358389,80.94182110716778
".,",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
..,21.470910553583888,0.0,21.470910553583888,42.941821107167776
./,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
.;,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.A,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.B,21.470910553583888,34.66987164671943,56.14078220030332,112.28156440060664
.C,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
.D,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.E,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.F,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.G,21.470910553583888,19.0,40.47091055358389,80.94182110716778
.H,21.470910553583888,19.0,40.47091055358389,80.94182110716778
.I,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.J,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.K,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.L,21.470910553583888,21.470910553583888,0.0,42.941821107167776
.M,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
.N,21.470910553583888,21.02379604162864,42.49470659521253,84.98941319042505
.O,21.470910553583888,40.85339643163099,19.6468827043885,81.97118968960338
.P,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.Q,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.R,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.S,21.470910553583888,0.0,21.470910553583888,42.941821107167776
.T,21.470910553583888,23.600847442411894,45.07175799599578,90.14351599199156
.U,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.V,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
.W,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
.X,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
.Y,21.470910553583888,30.610455730027933,52.08136628361182,104.16273256722364
.Z,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
.[,21.470910553583888,23.600847442411894,45.07175799599578,90.14351599199156
/',21.470910553583888,21.02379604162864,19.0,61.49470659521253
