key_pair,dvorak7_columns
'',0.0
"',",0.5
'.,0.5
'/,0.5
';,0.5
'A,0.5
'B,0.0
'C,0.5
'D,0.5
'E,0.5
'F,0.5
'G,0.0
'H,0.0
'I,0.5
'J,0.5
'K,0.5
'L,0.5
'M,0.5
'N,0.0
'O,0.5
'P,0.5
'Q,0.5
'R,0.5
'S,0.5
'T,0.0
'U,0.5
'V,0.5
'W,0.5
'X,0.5
'Y,0.0
'Z,0.5
'[,0.0
",'",0.5
",,",1.0
",.",1.0
",/",1.0
",;",1.0
",A",1.0
",B",0.5
",C",1.0
",D",1.0
",E",1.0
",F",1.0
",G",0.5
",H",0.5
",I",1.0
",J",1.0
",K",1.0
",L",1.0
",M",1.0
",N",0.5
",O",1.0
",P",1.0
",Q",1.0
",R",1.0
",S",1.0
",T",0.5
",U",1.0
",V",1.0
",W",1.0
",X",1.0
",Y",0.5
",Z",1.0
",[",0.5
.',0.5
".,",1.0
..,1.0
./,1.0
.;,1.0
.A,1.0
.B,0.5
.C,1.0
.D,1.0
.E,1.0
.F,1.0
.G,0.5
.H,0.5
.I,1.0
.J,1.0
.K,1.0
.L,1.0
.M,1.0
.N,0.5
.O,1.0
.P,1.0
.Q,1.0
.R,1.0
.S,1.0
.T,0.5
.U,1.0
.V,1.0
.W,1.0
.X,1.0
.Y,0.5
.Z,1.0
.[,0.5
/',0.5
"/,",1.0
/.,1.0
//,1.0
/;,1.0
/A,1.0
/B,0.5
/C,1.0
/D,1.0
/E,1.0
/F,1.0
/G,0.5
/H,0.5
/I,1.0
/J,1.0
/K,1.0
/L,1.0
/M,1.0
/N,0.5
/O,1.0
/P,1.0
/Q,1.0
/R,1.0
/S,1.0
/T,0.5
/U,1.0
/V,1.0
/W,1.0
/X,1.0
/Y,0.5
/Z,1.0
/[,0.5
;',0.5
";,",1.0
;.,1.0
;/,1.0
;;,1.0
;A,1.0
;B,0.5
;C,1.0
;D,1.0
;E,1.0
;F,1.0
;G,0.5
;H,0.5
;I,1.0
;J,1.0
;K,1.0
;L,1.0
;M,1.0
;N,0.5
;O,1.0
;P,1.0
;Q,1.0
;R,1.0
;S,1.0
;T,0.5
;U,1.0
;V,1.0
;W,1.0
;X,1.0
;Y,0.5
;Z,1.0
;[,0.5
A',0.5
"A,",1.0
A.,1.0
A/,1.0
A;,1.0
AA,1.0
AB,0.5
AC,1.0
AD,1.0
AE,1.0
AF,1.0
AG,0.5
AH,0.5
AI,1.0
AJ,1.0
AK,1.0
AL,1.0
AM,1.0
AN,0.5
AO,1.0
AP,1.0
AQ,1.0
AR,1.0
AS,1.0
AT,0.5
AU,1.0
AV,1.0
AW,1.0
AX,1.0
AY,0.5
AZ,1.0
A[,0.5
B',0.0
"B,",0.5
B.,0.5
B/,0.5
B;,0.5
BA,0.5
BB,0.0
BC,0.5
BD,0.5
BE,0.5
BF,0.5
BG,0.0
BH,0.0
BI,0.5
BJ,0.5
BK,0.5
BL,0.5
BM,0.5
BN,0.0
BO,0.5
BP,0.5
BQ,0.5
BR,0.5
BS,0.5
BT,0.0
BU,0.5
BV,0.5
BW,0.5
BX,0.5
BY,0.0
BZ,0.5
B[,0.0
C',0.5
"C,",1.0
C.,1.0
C/,1.0
C;,1.0
CA,1.0
CB,0.5
CC,1.0
CD,1.0
CE,1.0
CF,1.0
CG,0.5
CH,0.5
CI,1.0
CJ,1.0
CK,1.0
CL,1.0
CM,1.0
CN,0.5
CO,1.0
CP,1.0
CQ,1.0
CR,1.0
CS,1.0
CT,0.5
CU,1.0
CV,1.0
CW,1.0
CX,1.0
CY,0.5
CZ,1.0
C[,0.5
