key_pair,dvorak7_score
'',2.0
"',",4.5
'.,3.0
'/,1.5
';,2.5
'A,5.5
'B,5.0
'C,5.5
'D,6.0
'E,5.5
'F,6.0
'G,5.5
'H,5.0
'I,4.5
'J,5.5
'K,5.5
'L,4.0
'M,4.5
'N,4.0
'O,3.0
'P,1.5
'Q,5.0
'R,5.5
'S,5.5
'T,5.0
'U,4.5
'V,5.5
'W,5.0
'X,5.0
'Y,4.0
'Z,5.0
'[,1.0
",'",3.5
",,",3.0
",.",3.0
",/",4.0
",;",4.0
",A",6.0
",B",5.5
",C",6.0
",D",6.5
",E",6.0
",F",6.5
",G",6.0
",H",5.0
",I",2.0
",J",5.5
",K",3.0
",L",3.0
",M",5.5
",N",5.0
",O",2.0
",P",3.0
",Q",5.5
",R",6.0
",S",6.0
",T",5.5
",U",4.5
",V",6.0
",W",5.5
",X",5.5
",Y",4.0
",Z",5.5
",[",2.5
.',2.0
".,",4.0
..,2.0
./,2.5
.;,2.5
.A,5.5
.B,5.0
.C,5.5
.D,6.0
.E,5.5
.F,6.0
.G,5.5
.H,4.5
.I,3.0
.J,5.0
.K,4.0
.L,2.0
.M,5.0
.N,4.5
.O,1.0
.P,1.5
.Q,5.0
.R,5.5
.S,5.5
.T,5.0
.U,4.0
.V,5.5
.W,5.0
.X,5.0
.Y,3.5
.Z,5.0
.[,1.0
/',1.5
"/,",5.0
/.,3.5
//,2.0
/;,2.0
/A,5.5
/B,5.0
/C,5.5
/D,6.0
/E,5.5
/F,6.0
/G,5.5
/H,4.5
/I,4.0
/J,5.0
/K,5.0
/L,3.5
/M,5.0
/N,4.5
/O,2.5
/P,1.0
/Q,5.0
/R,5.5
/S,5.5
/T,5.0
/U,4.0
/V,5.5
/W,5.0
/X,5.0
/Y,3.5
/Z,5.0
/[,0.5
;',2.5
";,",5.0
;.,3.5
;/,2.0
;;,3.0
;A,6.0
;B,5.5
;C,6.0
;D,6.5
;E,6.0
;F,6.5
;G,6.0
;H,5.5
;I,5.0
;J,6.0
;K,6.0
;L,4.5
;M,5.0
;N,4.5
;O,3.5
;P,2.0
;Q,5.5
;R,6.0
;S,6.0
;T,5.5
;U,5.0
;V,6.0
;W,5.5
;X,5.5
;Y,4.5
;Z,5.5
;[,1.5
A',5.5
"A,",6.0
A.,5.5
A/,5.5
A;,6.0
AA,3.0
AB,4.5
AC,5.0
AD,6.0
AE,5.0
AF,6.0
AG,5.5
AH,6.0
AI,6.0
AJ,6.5
AK,6.5
AL,6.0
AM,6.0
AN,5.5
AO,5.5
AP,5.5
AQ,2.0
AR,5.0
AS,4.5
AT,4.5
AU,6.0
AV,5.0
AW,3.5
AX,3.5
AY,5.5
AZ,2.0
A[,5.0
B',5.0
"B,",5.5
B.,5.0
B/,5.0
B;,5.5
BA,3.5
BB,2.0
BC,4.0
BD,4.0
BE,3.0
BF,2.5
BG,2.0
BH,5.5
BI,5.5
BJ,6.0
BK,6.0
BL,5.5
BM,5.5
BN,5.0
BO,5.0
BP,5.0
BQ,2.5
BR,1.5
BS,3.5
BT,1.0
BU,5.5
BV,2.5
BW,2.5
BX,3.5
BY,5.0
BZ,3.5
B[,4.5
C',5.5
"C,",6.0
C.,5.5
C/,5.5
C;,6.0
CA,4.0
CB,5.0
CC,3.0
CD,3.0
CE,2.0
CF,5.5
CG,5.0
CH,6.0
CI,6.0
CJ,6.5
CK,6.5
CL,6.0
CM,6.0
CN,5.5
CO,5.5
CP,5.5
CQ,3.0
CR,4.5
CS,3.0
CT,4.0
CU,6.0
CV,5.5
CW,2.0
CX,3.0
CY,5.5
CZ,4.0
C[,5.0
D',6.0
"D,",6.5
D.,6.0
D/,6.0
D;,6.5
DA,5.0
DB,5.0
DC,3.0
DD,4.0
DE,3.0
DF,6.5
DG,6.0
DH,6.5
DI,6.5
DJ,7.0
DK,7.0
DL,6.5
DM,6.5
DN,6.0
DO,6.0
DP,6.0
DQ,4.0
DR,5.5
DS,4.0
DT,5.0
DU,6.5
DV,5.5
DW,3.0
DX,3.0
DY,6.0
DZ,4.0
D[,5.5
E',5.5
"E,",6.0
E.,5.5
E/,5.5
E;,6.0
EA,4.0
EB,4.0
EC,2.0
ED,3.0
EE,3.0
EF,5.5
EG,5.0
EH,6.0
EI,6.0
EJ,6.5
EK,6.5
EL,6.0
EM,6.0
EN,5.5
EO,5.5
EP,5.5
EQ,4.0
ER,5.5
ES,3.0
ET,5.0
EU,6.0
EV,4.5
EW,3.0
EX,2.0
EY,5.5
EZ,3.0
E[,5.0
F',6.0
"F,",6.5
F.,6.0
F/,6.0
F;,6.5
FA,5.0
FB,2.5
FC,4.5
FD,5.5
FE,4.5
FF,4.0
FG,3.5
FH,6.5
FI,6.5
FJ,7.0
FK,7.0
FL,6.5
FM,6.5
FN,6.0
FO,6.0
FP,6.0
FQ,4.0
FR,3.0
FS,5.0
FT,2.5
FU,6.5
FV,3.0
FW,4.0
FX,4.0
FY,6.0
FZ,4.0
F[,5.5
G',5.5
"G,",6.0
G.,5.5
G/,5.5
G;,6.0
GA,4.5
GB,2.0
GC,4.0
GD,5.0
GE,4.0
GF,3.5
GG,3.0
GH,6.0
GI,6.0
GJ,6.5
GK,6.5
GL,6.0
GM,6.0
GN,5.5
GO,5.5
GP,5.5
GQ,3.5
GR,2.5
GS,4.5
GT,2.0
GU,6.0
GV,2.5
GW,3.5
GX,3.5
GY,5.5
GZ,3.5
G[,5.0
H',4.0
"H,",4.0
H.,3.5
H/,3.5
H;,4.5
HA,6.0
HB,5.5
HC,6.0
HD,6.5
HE,6.0
HF,6.5
HG,6.0
HH,3.0
HI,4.0
HJ,3.5
HK,5.0
HL,4.5
HM,2.5
HN,2.0
HO,3.5
HP,3.5
HQ,5.5
HR,6.0
HS,6.0
HT,5.5
HU,2.5
HV,6.0
HW,5.5
HX,5.5
HY,2.0
HZ,5.5
H[,3.0
I',3.5
"I,",2.0
I.,2.0
I/,3.0
I;,4.0
IA,6.0
IB,5.5
IC,6.0
ID,6.5
IE,6.0
IF,6.5
IG,6.0
IH,5.0
II,3.0
IJ,5.5
IK,3.0
IL,3.0
IM,4.5
IN,4.0
IO,3.0
IP,4.0
IQ,5.5
IR,6.0
IS,6.0
IT,5.5
IU,5.5
IV,6.0
IW,5.5
IX,5.5
IY,5.0
IZ,5.5
I[,3.5
J',4.5
"J,",4.5
J.,4.0
J/,4.0
J;,5.0
JA,6.5
JB,6.0
JC,6.5
JD,7.0
JE,6.5
JF,7.0
JG,6.5
JH,3.5
JI,4.5
JJ,4.0
JK,5.5
JL,5.0
JM,3.0
JN,2.5
JO,4.0
JP,4.0
JQ,6.0
JR,6.5
JS,6.5
JT,6.0
JU,3.0
JV,6.5
JW,6.0
JX,6.0
JY,2.5
JZ,6.0
J[,3.5
K',4.5
"K,",3.0
K.,3.0
K/,4.0
K;,5.0
KA,6.5
KB,6.0
KC,6.5
KD,7.0
KE,6.5
KF,7.0
KG,6.5
KH,6.0
KI,3.0
KJ,6.5
KK,4.0
KL,4.0
KM,5.5
KN,5.0
KO,3.0
KP,4.0
KQ,6.0
KR,6.5
KS,6.5
KT,6.0
KU,5.5
KV,6.5
KW,6.0
KX,6.0
KY,5.0
KZ,6.0
K[,3.5
L',3.0
"L,",4.0
L.,2.0
L/,2.5
L;,3.5
LA,6.0
LB,5.5
