key_pair,dvorak9_home_row
'',1.0
"',",0.5
'.,0.5
'/,0.5
';,1.0
'A,1.0
'B,0.5
'C,0.5
'D,1.0
'E,0.5
'F,1.0
'G,1.0
'H,1.0
'I,0.5
'J,1.0
'K,1.0
'L,1.0
'M,0.5
'N,0.5
'O,0.5
'P,0.5
'Q,0.5
'R,0.5
'S,1.0
'T,0.5
'U,0.5
'V,0.5
'W,0.5
'X,0.5
'Y,0.5
'Z,0.5
'[,0.5
",'",0.5
",,",0.0
",.",0.0
",/",0.0
",;",0.5
",A",0.5
",B",0.0
",C",0.0
",D",0.5
",E",0.0
",F",0.5
",G",0.5
",H",0.5
",I",0.0
",J",0.5
",K",0.5
",L",0.5
",M",0.0
",N",0.0
",O",0.0
",P",0.0
",Q",0.0
",R",0.0
",S",0.5
",T",0.0
",U",0.0
",V",0.0
",W",0.0
",X",0.0
",Y",0.0
",Z",0.0
",[",0.0
.',0.5
".,",0.0
..,0.0
./,0.0
.;,0.5
.A,0.5
.B,0.0
.C,0.0
.D,0.5
.E,0.0
.F,0.5
.G,0.5
.H,0.5
.I,0.0
.J,0.5
.K,0.5
.L,0.5
.M,0.0
.N,0.0
.O,0.0
.P,0.0
.Q,0.0
.R,0.0
.S,0.5
.T,0.0
.U,0.0
.V,0.0
.W,0.0
.X,0.0
.Y,0.0
.Z,0.0
.[,0.0
/',0.5
"/,",0.0
/.,0.0
//,0.0
/;,0.5
/A,0.5
/B,0.0
/C,0.0
/D,0.5
/E,0.0
/F,0.5
/G,0.5
/H,0.5
/I,0.0
/J,0.5
/K,0.5
/L,0.5
/M,0.0
/N,0.0
/O,0.0
/P,0.0
/Q,0.0
/R,0.0
/S,0.5
/T,0.0
/U,0.0
/V,0.0
/W,0.0
/X,0.0
/Y,0.0
/Z,0.0
/[,0.0
;',1.0
";,",0.5
;.,0.5
;/,0.5
;;,1.0
;A,1.0
;B,0.5
;C,0.5
;D,1.0
;E,0.5
;F,1.0
;G,1.0
;H,1.0
;I,0.5
;J,1.0
;K,1.0
;L,1.0
;M,0.5
;N,0.5
;O,0.5
;P,0.5
;Q,0.5
;R,0.5
;S,1.0
;T,0.5
;U,0.5
;V,0.5
;W,0.5
;X,0.5
;Y,0.5
;Z,0.5
;[,0.5
A',1.0
"A,",0.5
A.,0.5
A/,0.5
A;,1.0
AA,1.0
AB,0.5
AC,0.5
AD,1.0
AE,0.5
AF,1.0
AG,1.0
AH,1.0
AI,0.5
AJ,1.0
AK,1.0
AL,1.0
AM,0.5
AN,0.5
AO,0.5
AP,0.5
AQ,0.5
AR,0.5
AS,1.0
AT,0.5
AU,0.5
AV,0.5
AW,0.5
AX,0.5
AY,0.5
AZ,0.5
A[,0.5
B',0.5
"B,",0.0
B.,0.0
B/,0.0
B;,0.5
BA,0.5
BB,0.0
BC,0.0
BD,0.5
BE,0.0
BF,0.5
BG,0.5
BH,0.5
BI,0.0
BJ,0.5
BK,0.5
BL,0.5
BM,0.0
BN,0.0
BO,0.0
BP,0.0
BQ,0.0
BR,0.0
BS,0.5
BT,0.0
BU,0.0
BV,0.0
BW,0.0
BX,0.0
BY,0.0
BZ,0.0
B[,0.0
C',0.5
"C,",0.0
C.,0.0
C/,0.0
C;,0.5
CA,0.5
CB,0.0
CC,0.0
CD,0.5
CE,0.0
CF,0.5
CG,0.5
CH,0.5
CI,0.0
CJ,0.5
CK,0.5
CL,0.5
CM,0.0
CN,0.0
CO,0.0
CP,0.0
CQ,0.0
CR,0.0
CS,0.5
CT,0.0
CU,0.0
CV,0.0
CW,0.0
CX,0.0
CY,0.0
CZ,0.0
C[,0.0
D',1.0
"D,",0.5
D.,0.5
D/,0.5
D;,1.0
DA,1.0
DB,0.5
DC,0.5
DD,1.0
DE,0.5
DF,1.0
DG,1.0
DH,1.0
DI,0.5
DJ,1.0
DK,1.0
DL,1.0
DM,0.5
DN,0.5
DO,0.5
DP,0.5
DQ,0.5
DR,0.5
DS,1.0
DT,0.5
DU,0.5
DV,0.5
DW,0.5
DX,0.5
DY,0.5
DZ,0.5
D[,0.5
E',0.5
"E,",0.0
E.,0.0
E/,0.0
E;,0.5
EA,0.5
EB,0.0
EC,0.0
ED,0.5
EE,0.0
EF,0.5
EG,0.5
EH,0.5
EI,0.0
EJ,0.5
EK,0.5
EL,0.5
EM,0.0
EN,0.0
EO,0.0
EP,0.0
EQ,0.0
ER,0.0
ES,0.5
ET,0.0
EU,0.0
EV,0.0
EW,0.0
EX,0.0
EY,0.0
EZ,0.0
E[,0.0
F',1.0
"F,",0.5
F.,0.5
F/,0.5
F;,1.0
FA,1.0
FB,0.5
FC,0.5
FD,1.0
FE,0.5
FF,1.0
FG,1.0
FH,1.0
FI,0.5
FJ,1.0
FK,1.0
FL,1.0
FM,0.5
FN,0.5
FO,0.5
FP,0.5
FQ,0.5
FR,0.5
FS,1.0
FT,0.5
FU,0.5
FV,0.5
FW,0.5
FX,0.5
FY,0.5
FZ,0.5
F[,0.5
G',1.0
"G,",0.5
G.,0.5
G/,0.5
G;,1.0
GA,1.0
GB,0.5
GC,0.5
GD,1.0
GE,0.5
GF,1.0
GG,1.0
GH,1.0
GI,0.5
GJ,1.0
GK,1.0
GL,1.0
GM,0.5
GN,0.5
GO,0.5
GP,0.5
GQ,0.5
GR,0.5
GS,1.0
GT,0.5
GU,0.5
GV,0.5
GW,0.5
GX,0.5
GY,0.5
GZ,0.5
G[,0.5
H',1.0
"H,",0.5
H.,0.5
H/,0.5
H;,1.0
HA,1.0
HB,0.5
HC,0.5
HD,1.0
HE,0.5
HF,1.0
HG,1.0
HH,1.0
HI,0.5
HJ,1.0
HK,1.0
HL,1.0
HM,0.5
HN,0.5
HO,0.5
HP,0.5
HQ,0.5
HR,0.5
HS,1.0
HT,0.5
HU,0.5
HV,0.5
HW,0.5
HX,0.5
HY,0.5
HZ,0.5
H[,0.5
I',0.5
"I,",0.0
I.,0.0
I/,0.0
I;,0.5
IA,0.5
IB,0.0
IC,0.0
ID,0.5
IE,0.0
IF,0.5
IG,0.5
IH,0.5
II,0.0
IJ,0.5
IK,0.5
IL,0.5
IM,0.0
IN,0.0
IO,0.0
IP,0.0
IQ,0.0
IR,0.0
IS,0.5
IT,0.0
IU,0.0
IV,0.0
IW,0.0
IX,0.0
IY,0.0
IZ,0.0
I[,0.0
J',1.0
"J,",0.5
J.,0.5
J/,0.5
J;,1.0
JA,1.0
JB,0.5
JC,0.5
JD,1.0
JE,0.5
JF,1.0
JG,1.0
JH,1.0
JI,0.5
JJ,1.0
JK,1.0
JL,1.0
JM,0.5
JN,0.5
JO,0.5
JP,0.5
JQ,0.5
JR,0.5
JS,1.0
JT,0.5
JU,0.5
JV,0.5
JW,0.5
JX,0.5
JY,0.5
JZ,0.5
J[,0.5
K',1.0
"K,",0.5
K.,0.5
