key_pair,dvorak9_strum
'',0.0
"',",1.0
'.,1.0
'/,0.0
';,0.0
'A,1.0
'B,1.0
'C,1.0
'D,1.0
'E,1.0
'F,1.0
'G,1.0
'H,1.0
'I,1.0
'J,1.0
'K,1.0
'L,1.0
'M,1.0
'N,1.0
'O,1.0
'P,0.0
'Q,1.0
'R,1.0
'S,1.0
'T,1.0
'U,1.0
'V,1.0
'W,1.0
'X,1.0
'Y,1.0
'Z,1.0
'[,0.0
",'",0.0
",,",0.0
",.",0.0
",/",0.0
",;",0.0
",A",1.0
",B",1.0
",C",1.0
",D",1.0
",E",1.0
",F",1.0
",G",1.0
",H",1.0
",I",0.0
",J",1.0
",K",0.0
",L",0.0
",M",1.0
",N",1.0
",O",0.0
",P",0.0
",Q",1.0
",R",1.0
",S",1.0
",T",1.0
",U",1.0
",V",1.0
",W",1.0
",X",1.0
",Y",1.0
",Z",1.0
",[",0.0
.',0.0
".,",1.0
..,0.0
./,0.0
.;,0.0
.A,1.0
.B,1.0
.C,1.0
.D,1.0
.E,1.0
.F,1.0
.G,1.0
.H,1.0
.I,1.0
.J,1.0
.K,1.0
.L,0.0
.M,1.0
.N,1.0
.O,0.0
.P,0.0
.Q,1.0
.R,1.0
.S,1.0
.T,1.0
.U,1.0
.V,1.0
.W,1.0
.X,1.0
.Y,1.0
.Z,1.0
.[,0.0
/',0.0
"/,",1.0
/.,1.0
//,0.0
/;,0.0
/A,1.0
/B,1.0
/C,1.0
/D,1.0
/E,1.0
/F,1.0
/G,1.0
/H,1.0
/I,1.0
/J,1.0
/K,1.0
/L,1.0
/M,1.0
/N,1.0
/O,1.0
/P,0.0
/Q,1.0
/R,1.0
/S,1.0
/T,1.0
/U,1.0
/V,1.0
/W,1.0
/X,1.0
/Y,1.0
/Z,1.0
/[,0.0
;',0.0
";,",1.0
;.,1.0
;/,0.0
;;,0.0
;A,1.0
;B,1.0
;C,1.0
;D,1.0
;E,1.0
;F,1.0
;G,1.0
;H,1.0
;I,1.0
;J,1.0
;K,1.0
;L,1.0
;M,1.0
;N,1.0
;O,1.0
;P,0.0
;Q,1.0
;R,1.0
;S,1.0
;T,1.0
;U,1.0
;V,1.0
;W,1.0
;X,1.0
;Y,1.0
;Z,1.0
;[,0.0
A',1.0
"A,",1.0
A.,1.0
A/,1.0
A;,1.0
AA,0.0
AB,1.0
AC,1.0
AD,1.0
AE,1.0
AF,1.0
AG,1.0
AH,1.0
AI,1.0
AJ,1.0
AK,1.0
AL,1.0
AM,1.0
AN,1.0
AO,1.0
AP,1.0
AQ,0.0
AR,1.0
AS,1.0
AT,1.0
AU,1.0
AV,1.0
AW,1.0
AX,1.0
AY,1.0
AZ,0.0
A[,1.0
B',1.0
"B,",1.0
B.,1.0
B/,1.0
B;,1.0
BA,0.0
BB,0.0
BC,0.0
BD,0.0
BE,0.0
BF,0.0
BG,0.0
BH,1.0
BI,1.0
BJ,1.0
BK,1.0
BL,1.0
BM,1.0
BN,1.0
BO,1.0
BP,1.0
BQ,0.0
BR,0.0
BS,0.0
BT,0.0
BU,1.0
BV,0.0
BW,0.0
BX,0.0
BY,1.0
BZ,0.0
B[,1.0
C',1.0
"C,",1.0
C.,1.0
C/,1.0
C;,1.0
CA,0.0
CB,1.0
CC,0.0
CD,0.0
CE,0.0
CF,1.0
CG,1.0
CH,1.0
CI,1.0
CJ,1.0
CK,1.0
CL,1.0
CM,1.0
CN,1.0
CO,1.0
CP,1.0
CQ,0.0
CR,1.0
CS,0.0
CT,1.0
CU,1.0
CV,1.0
CW,0.0
CX,0.0
CY,1.0
CZ,0.0
C[,1.0
D',1.0
"D,",1.0
D.,1.0
D/,1.0
D;,1.0
DA,0.0
DB,1.0
DC,0.0
DD,0.0
DE,0.0
DF,1.0
DG,1.0
DH,1.0
DI,1.0
DJ,1.0
DK,1.0
DL,1.0
DM,1.0
DN,1.0
DO,1.0
DP,1.0
DQ,0.0
DR,1.0
DS,0.0
DT,1.0
DU,1.0
DV,1.0
DW,0.0
DX,0.0
DY,1.0
DZ,0.0
D[,1.0
E',1.0
"E,",1.0
E.,1.0
E/,1.0
E;,1.0
EA,0.0
EB,1.0
EC,0.0
ED,0.0
EE,0.0
EF,1.0
EG,1.0
