key_pair,engram7_position
'',0.0
"',",0.0
'.,0.25
'/,0.25
';,0.5
'A,0.5
'B,0.0
'C,0.0
'D,0.5
'E,0.25
'F,0.5
'G,0.0
'H,0.0
'I,0.25
'J,0.5
'K,0.5
'L,0.5
'M,0.25
'N,0.0
'O,0.25
'P,0.0
'Q,0.0
'R,0.0
'S,0.5
'T,0.0
'U,0.0
'V,0.25
'W,0.25
'X,0.25
'Y,0.0
'Z,0.25
'[,0.0
",'",0.0
",,",0.0
",.",0.25
",/",0.25
",;",0.5
",A",0.5
",B",0.0
",C",0.0
",D",0.5
",E",0.25
",F",0.5
",G",0.0
",H",0.0
",I",0.25
",J",0.5
",K",0.5
",L",0.5
",M",0.25
",N",0.0
",O",0.25
",P",0.0
",Q",0.0
",R",0.0
",S",0.5
",T",0.0
",U",0.0
",V",0.25
",W",0.25
",X",0.25
",Y",0.0
",Z",0.25
",[",0.0
.',0.25
".,",0.0
..,0.5
./,0.5
.;,0.75
.A,0.75
.B,0.25
.C,0.0
.D,0.75
.E,0.5
.F,0.75
.G,0.25
.H,0.25
.I,0.5
.J,0.75
.K,0.75
.L,0.75
.M,0.5
.N,0.25
.O,0.5
.P,0.0
.Q,0.0
.R,0.0
.S,0.75
.T,0.25
.U,0.0
.V,0.5
.W,0.5
.X,0.5
.Y,0.25
.Z,0.5
.[,0.25
/',0.25
"/,",0.0
/.,0.5
//,0.5
/;,0.75
/A,0.75
/B,0.25
/C,0.0
/D,0.75
/E,0.5
/F,0.75
/G,0.25
/H,0.25
/I,0.5
/J,0.75
/K,0.75
/L,0.75
/M,0.5
/N,0.25
/O,0.5
/P,0.0
/Q,0.0
/R,0.0
/S,0.75
/T,0.25
/U,0.0
/V,0.5
/W,0.5
/X,0.5
/Y,0.25
/Z,0.5
/[,0.25
;',0.5
";,",0.0
;.,0.75
;/,0.75
;;,1.0
;A,1.0
;B,0.5
;C,0.0
;D,1.0
;E,0.75
;F,1.0
;G,0.5
;H,0.5
;I,0.75
;J,1.0
;K,1.0
;L,1.0
;M,0.75
;N,0.5
;O,0.75
;P,0.0
;Q,0.0
;R,0.0
;S,1.0
;T,0.5
;U,0.0
;V,0.75
;W,0.75
;X,0.75
;Y,0.5
;Z,0.75
;[,0.5
A',0.5
"A,",0.0
A.,0.75
A/,0.75
A;,1.0
AA,1.0
AB,0.5
AC,0.0
AD,1.0
AE,0.75
AF,1.0
AG,0.5
AH,0.5
AI,0.75
AJ,1.0
AK,1.0
AL,1.0
AM,0.75
AN,0.5
AO,0.75
AP,0.0
AQ,0.0
AR,0.0
AS,1.0
AT,0.5
AU,0.0
AV,0.75
AW,0.75
AX,0.75
AY,0.5
