key_pair,engram8_curl
'',0.0
"',",0.0
'.,0.5
'/,0.5
';,0.5
'A,0.5
'B,0.0
'C,0.0
'D,0.5
'E,0.5
'F,0.5
'G,0.0
'H,0.0
'I,0.5
'J,0.5
'K,0.5
'L,0.5
'M,0.5
'N,0.0
'O,0.5
'P,0.0
'Q,0.0
'R,0.0
'S,0.5
'T,0.0
'U,0.0
'V,0.5
'W,0.5
'X,0.5
'Y,0.0
'Z,0.5
'[,0.0
",'",0.0
",,",0.0
",.",0.5
",/",0.5
",;",0.5
",A",0.5
",B",0.0
",C",0.0
",D",0.5
",E",0.5
",F",0.5
",G",0.0
",H",0.0
",I",0.5
",J",0.5
",K",0.5
",L",0.5
",M",0.5
",N",0.0
",O",0.5
",P",0.0
",Q",0.0
",R",0.0
",S",0.5
",T",0.0
",U",0.0
",V",0.5
",W",0.5
",X",0.5
",Y",0.0
",Z",0.5
",[",0.0
.',0.5
".,",0.5
..,1.0
./,1.0
.;,1.0
.A,1.0
.B,0.5
.C,0.5
.D,1.0
.E,1.0
.F,1.0
.G,0.5
.H,0.5
.I,1.0
.J,1.0
.K,1.0
.L,1.0
.M,1.0
.N,0.5
.O,1.0
.P,0.5
.Q,0.5
.R,0.5
.S,1.0
.T,0.5
.U,0.5
.V,1.0
.W,1.0
.X,1.0
.Y,0.5
.Z,1.0
.[,0.5
/',0.5
"/,",0.5
/.,1.0
//,1.0
/;,1.0
/A,1.0
/B,0.5
/C,0.5
/D,1.0
/E,1.0
/F,1.0
/G,0.5
/H,0.5
/I,1.0
/J,1.0
/K,1.0
/L,1.0
/M,1.0
/N,0.5
/O,1.0
/P,0.5
/Q,0.5
/R,0.5
/S,1.0
/T,0.5
/U,0.5
/V,1.0
/W,1.0
/X,1.0
/Y,0.5
/Z,1.0
/[,0.5
;',0.5
";,",0.5
;.,1.0
;/,1.0
;;,1.0
;A,1.0
;B,0.5
;C,0.5
;D,1.0
;E,1.0
;F,1.0
;G,0.5
;H,0.5
;I,1.0
;J,1.0
;K,1.0
;L,1.0
;M,1.0
;N,0.5
;O,1.0
;P,0.5
;Q,0.5
;R,0.5
;S,1.0
;T,0.5
;U,0.5
;V,1.0
;W,1.0
;X,1.0
;Y,0.5
;Z,1.0
;[,0.5
A',0.5
"A,",0.5
A.,1.0
A/,1.0
A;,1.0
AA,1.0
AB,0.5
AC,0.5
AD,1.0
AE,1.0
AF,1.0
AG,0.5
AH,0.5
AI,1.0
AJ,1.0
AK,1.0
AL,1.0
AM,1.0
AN,0.5
AO,1.0
AP,0.5
AQ,0.5
AR,0.5
AS,1.0
AT,0.5
AU,0.5
AV,1.0
AW,1.0
AX,1.0
AY,0.5
