key_pair,engram8_score
'',1.0
"',",3.5
'.,2.5
'/,1.5
';,2.5
'A,5.5
'B,4.5
'C,5.0
'D,6.0
'E,5.5
'F,6.0
'G,4.5
'H,3.5
'I,4.0
'J,5.0
'K,5.0
'L,4.5
'M,4.0
'N,3.0
'O,2.5
'P,1.0
'Q,4.5
'R,5.0
'S,5.5
'T,4.5
'U,3.5
'V,5.5
'W,5.0
'X,5.0
'Y,3.0
'Z,5.0
'[,0.5
",'",3.5
",,",3.0
",.",5.0
",/",4.0
",;",5.0
",A",6.5
",B",5.5
",C",6.0
",D",7.0
",E",6.5
",F",7.0
",G",5.5
",H",3.0
",I",2.5
",J",4.5
",K",3.5
",L",4.0
",M",6.5
",N",4.5
",O",3.0
",P",3.5
",Q",5.5
",R",6.0
",S",6.5
",T",5.5
",U",3.0
",V",6.5
",W",6.0
",X",6.0
",Y",2.5
",Z",6.0
",[",3.0
.',2.5
".,",6.0
..,3.0
./,5.0
.;,4.0
.A,6.5
.B,5.5
.C,6.0
.D,7.0
.E,6.5
.F,7.0
.G,5.5
.H,4.0
.I,3.5
.J,5.5
.K,4.5
.L,3.0
.M,5.5
.N,4.5
.O,2.0
.P,2.5
.Q,5.5
.R,6.0
.S,6.5
.T,5.5
.U,4.0
.V,6.5
.W,6.0
.X,6.0
.Y,3.5
.Z,6.0
.[,2.0
/',1.5
"/,",5.0
/.,6.0
//,3.0
/;,3.0
/A,6.5
/B,5.5
/C,6.0
/D,7.0
/E,6.5
/F,7.0
/G,5.5
/H,4.0
/I,4.5
/J,5.5
/K,5.5
/L,4.0
/M,5.5
/N,4.5
/O,3.0
/P,1.5
/Q,5.5
/R,6.0
/S,6.5
/T,5.5
/U,4.0
/V,6.5
/W,6.0
/X,6.0
/Y,3.5
/Z,6.0
/[,1.0
;',2.5
";,",5.0
;.,4.0
;/,3.0
;;,4.0
;A,7.0
;B,6.0
;C,6.5
;D,7.5
;E,7.0
;F,7.5
;G,6.0
;H,5.0
;I,5.5
;J,6.5
;K,6.5
;L,7.0
;M,5.5
;N,4.5
;O,4.0
;P,2.5
;Q,6.0
;R,6.5
;S,7.0
;T,6.0
;U,5.0
;V,7.0
;W,6.5
;X,6.5
;Y,4.5
;Z,6.5
;[,2.0
A',5.5
"A,",6.5
A.,6.5
A/,6.5
A;,7.0
AA,4.0
AB,4.5
AC,5.0
AD,6.5
AE,5.5
AF,6.5
AG,5.0
AH,6.0
AI,7.0
AJ,7.5
AK,7.5
AL,7.0
AM,7.0
AN,6.0
AO,6.5
AP,6.0
AQ,2.5
AR,5.0
AS,7.0
AT,4.5
AU,6.5
AV,5.5
AW,4.0
AX,4.0
AY,6.0
AZ,3.0
A[,5.5
B',4.5
"B,",5.5
B.,5.5
B/,5.5
B;,6.0
BA,4.5
BB,2.0
BC,3.5
BD,4.0
BE,3.0
BF,3.0
BG,1.5
BH,5.0
BI,6.0
BJ,6.5
BK,6.5
BL,6.0
BM,6.0
BN,5.0
BO,5.5
BP,5.0
BQ,3.0
BR,1.5
BS,4.5
BT,1.0
BU,5.5
BV,3.0
BW,3.5
BX,3.5
BY,5.0
BZ,3.5
B[,4.5
C',5.0
"C,",6.0
C.,6.0
C/,6.0
C;,6.5
CA,5.0
CB,4.5
CC,3.0
CD,3.5
CE,2.5
CF,4.5
CG,3.0
CH,5.5
CI,6.5
CJ,7.0
CK,7.0
CL,6.5
CM,6.5
CN,5.5
CO,6.0
CP,5.5
CQ,3.5
CR,3.0
CS,4.0
CT,2.5
CU,6.0
CV,6.5
CW,3.0
CX,5.0
CY,5.5
CZ,4.0
C[,5.0
D',6.0
"D,",7.0
