key_pair,engram8_strength
'',0.0
"',",0.5
'.,0.0
'/,0.0
';,0.0
'A,0.0
'B,0.5
'C,0.5
'D,0.5
'E,0.5
'F,0.5
'G,0.5
'H,0.5
'I,0.5
'J,0.5
'K,0.5
'L,0.0
'M,0.5
'N,0.5
'O,0.0
'P,0.0
'Q,0.0
'R,0.5
'S,0.0
'T,0.5
'U,0.5
'V,0.5
'W,0.0
'X,0.0
'Y,0.5
'Z,0.0
'[,0.0
",'",0.5
",,",1.0
",.",0.5
",/",0.5
",;",0.5
",A",0.5
",B",1.0
",C",1.0
",D",1.0
",E",1.0
",F",1.0
",G",1.0
",H",1.0
",I",1.0
",J",1.0
",K",1.0
",L",0.5
",M",1.0
",N",1.0
",O",0.5
",P",0.5
",Q",0.5
",R",1.0
",S",0.5
",T",1.0
",U",1.0
",V",1.0
",W",0.5
",X",0.5
",Y",1.0
",Z",0.5
",[",0.5
.',0.0
".,",0.5
..,0.0
./,0.0
.;,0.0
.A,0.0
.B,0.5
.C,0.5
.D,0.5
.E,0.5
.F,0.5
.G,0.5
.H,0.5
.I,0.5
.J,0.5
.K,0.5
.L,0.0
.M,0.5
.N,0.5
.O,0.0
.P,0.0
.Q,0.0
.R,0.5
.S,0.0
.T,0.5
.U,0.5
.V,0.5
.W,0.0
.X,0.0
.Y,0.5
.Z,0.0
.[,0.0
/',0.0
"/,",0.5
/.,0.0
//,0.0
/;,0.0
/A,0.0
/B,0.5
/C,0.5
/D,0.5
/E,0.5
/F,0.5
/G,0.5
/H,0.5
/I,0.5
/J,0.5
/K,0.5
/L,0.0
/M,0.5
/N,0.5
/O,0.0
/P,0.0
/Q,0.0
/R,0.5
/S,0.0
/T,0.5
/U,0.5
/V,0.5
/W,0.0
/X,0.0
/Y,0.5
/Z,0.0
/[,0.0
;',0.0
";,",0.5
;.,0.0
;/,0.0
;;,0.0
;A,0.0
;B,0.5
;C,0.5
;D,0.5
;E,0.5
;F,0.5
;G,0.5
;H,0.5
;I,0.5
;J,0.5
;K,0.5
;L,0.0
;M,0.5
;N,0.5
;O,0.0
;P,0.0
;Q,0.0
;R,0.5
;S,0.0
;T,0.5
;U,0.5
;V,0.5
;W,0.0
;X,0.0
;Y,0.5
;Z,0.0
;[,0.0
A',0.0
"A,",0.5
A.,0.0
A/,0.0
A;,0.0
AA,0.0
AB,0.5
AC,0.5
AD,0.5
AE,0.5
AF,0.5
AG,0.5
AH,0.5
AI,0.5
AJ,0.5
AK,0.5
AL,0.0
AM,0.5
AN,0.5
AO,0.0
AP,0.0
AQ,0.0
AR,0.5
AS,0.0
AT,0.5
AU,0.5
AV,0.5
AW,0.0
AX,0.0
AY,0.5
AZ,0.0
A[,0.0
B',0.5
"B,",1.0
B.,0.5
B/,0.5
B;,0.5
BA,0.5
BB,1.0
BC,1.0
BD,1.0
BE,1.0
BF,1.0
BG,1.0
BH,1.0
BI,1.0
BJ,1.0
BK,1.0
BL,0.5
BM,1.0
BN,1.0
BO,0.5
BP,0.5
BQ,0.5
BR,1.0
BS,0.5
BT,1.0
BU,1.0
BV,1.0
BW,0.5
BX,0.5
BY,1.0
BZ,0.5
B[,0.5
C',0.5
"C,",1.0
C.,0.5
C/,0.5
C;,0.5
CA,0.5
CB,1.0
CC,1.0
CD,1.0
CE,1.0
CF,1.0
CG,1.0
CH,1.0
CI,1.0
CJ,1.0
CK,1.0
CL,0.5
CM,1.0
CN,1.0
CO,0.5
CP,0.5
CQ,0.5
CR,1.0
CS,0.5
CT,1.0
CU,1.0
CV,1.0
CW,0.5
CX,0.5
CY,1.0
CZ,0.5
C[,0.5
D',0.5
