key_pair,comfort_score,distance_score,time_score,dvorak7_score,dvorak7_repetition,dvorak7_movement,dvorak7_vertical,dvorak7_horizontal,dvorak7_adjacent,dvorak7_weak,dvorak7_outward,comfort_score_normalized,distance_score_normalized,time_score_normalized,dvorak7_score_normalized,dvorak7_repetition_normalized,dvorak7_movement_normalized,dvorak7_vertical_normalized,dvorak7_horizontal_normalized,dvorak7_adjacent_normalized,dvorak7_weak_normalized,dvorak7_outward_normalized
'',-1.442261,19.0,552.0,0.142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.304857,0.279895,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"',",-1.309704,40.470911,552.0,0.571429,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.095977,0.64936,0.279895,0.545455,0.5,0.0,0.5,0.5,1.0,0.5,1.0
'.,-1.363758,40.470911,636.2,0.357143,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.056839,0.64936,0.460753,0.272727,0.5,0.0,0.5,0.5,0.0,0.0,1.0
'/,-1.428568,40.023796,618.25,0.142857,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.009914,0.642186,0.422197,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
';,-1.108615,38.0,552.0,0.285714,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.241574,0.609714,0.279895,0.181818,0.0,0.707107,1.0,0.5,0.0,0.0,0.0
'A,-0.586998,19.0,552.0,0.714286,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.619248,0.304857,0.279895,0.727273,1.0,0.707107,1.0,0.5,1.0,0.0,1.0
'B,-0.836557,53.669872,595.6,0.642857,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.438556,0.861139,0.373546,0.636364,1.0,0.0,1.0,0.0,1.0,0.5,1.0
'C,-0.793852,40.470911,552.0,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.469477,0.64936,0.279895,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
'D,-0.521334,19.0,558.3,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.666792,0.304857,0.293427,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
'E,-0.589028,38.646883,494.6,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.617778,0.620093,0.156602,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
'F,-0.448844,19.0,627.95,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.719278,0.304857,0.443033,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
'G,-0.836557,38.0,615.0,0.642857,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.438556,0.609714,0.415217,0.636364,1.0,0.0,1.0,0.0,1.0,0.5,1.0
'H,-1.442261,38.0,615.0,0.571429,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.609714,0.415217,0.545455,0.5,0.0,1.0,0.0,1.0,0.5,1.0
'I,-1.25098,38.646883,494.6,0.571429,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.138496,0.620093,0.156602,0.545455,0.5,0.0,0.5,0.5,1.0,0.5,1.0
'J,-0.836557,19.0,627.95,0.714286,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.438556,0.304857,0.443033,0.727273,0.5,0.707107,1.0,0.5,1.0,0.5,1.0
'K,-0.953484,19.0,558.3,0.714286,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.353896,0.304857,0.293427,0.727273,0.5,0.707107,1.0,0.5,1.0,0.5,1.0
'L,-1.030731,19.0,530.95,0.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.297966,0.304857,0.23468,0.454545,0.5,0.707107,1.0,0.5,0.0,0.0,1.0
'M,-1.095099,40.470911,612.0,0.571429,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.251361,0.64936,0.408773,0.545455,0.5,0.0,0.5,0.5,1.0,0.5,1.0
'N,-1.442261,40.023796,540.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.642186,0.254119,0.454545,0.5,0.0,0.5,0.0,1.0,0.5,1.0
'O,-1.306993,38.646883,576.1,0.357143,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.09794,0.620093,0.331661,0.272727,0.5,0.0,0.5,0.5,0.0,0.0,1.0
'P,-1.442261,49.610456,581.5,0.142857,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.796005,0.34326,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
'Q,-0.776742,38.646883,658.6,0.642857,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.481865,0.620093,0.508868,0.636364,1.0,0.0,1.0,0.5,1.0,0.0,1.0
'R,-0.589028,38.646883,530.5,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.617778,0.620093,0.233714,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
'S,-0.555098,19.0,530.95,0.714286,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.642345,0.304857,0.23468,0.727273,1.0,0.707107,1.0,0.5,1.0,0.0,1.0
'T,-0.836557,42.600847,543.0,0.642857,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.438556,0.683535,0.260563,0.636364,1.0,0.0,1.0,0.0,1.0,0.5,1.0
'U,-1.242302,38.646883,530.5,0.571429,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.144779,0.620093,0.233714,0.545455,0.5,0.0,0.5,0.5,1.0,0.5,1.0
'V,-0.685918,40.470911,612.0,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.547626,0.64936,0.408773,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
'W,-0.689815,38.646883,576.1,0.642857,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.544804,0.620093,0.331661,0.636364,1.0,0.0,1.0,0.5,1.0,0.0,1.0
'X,-0.828168,40.470911,636.2,0.642857,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.44463,0.64936,0.460753,0.636364,1.0,0.0,1.0,0.5,1.0,0.0,1.0
'Y,-1.442261,49.610456,577.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.796005,0.333594,0.454545,0.5,0.0,0.5,0.0,1.0,0.5,1.0
'Z,-0.803329,40.470911,618.25,0.642857,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.462615,0.64936,0.422197,0.636364,1.0,0.0,1.0,0.5,1.0,0.0,1.0
'[,-1.442261,38.646883,581.5,0.071429,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.620093,0.34326,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
",'",-1.401832,40.470911,507.5,0.428571,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.029272,0.64936,0.18431,0.363636,0.5,0.0,0.5,0.5,1.0,0.5,0.0
",,",-0.832472,21.470911,507.5,0.428571,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.441514,0.344503,0.18431,0.363636,0.0,0.0,1.0,1.0,0.0,1.0,0.0
",.",-1.093728,42.941821,505.882607,0.428571,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.252353,0.689006,0.180836,0.363636,0.5,0.0,1.0,1.0,0.0,0.5,0.0
",/",-1.079011,42.941821,516.810876,0.571429,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.263009,0.689006,0.20431,0.545455,0.5,0.0,1.0,1.0,1.0,0.5,0.0
