key_pair,time_setup,time_interval,time_return,time_total,setup_source,interval_source,return_source
'',211.5,448,200.0,859.5,136M_average,max_fallback,136M_average
"',",211.5,448,200.0,859.5,136M_average,max_fallback,136M_mirror
'.,211.5,448,200,859.5,136M_average,max_fallback,136M_mirror
'/,211.5,448,200.0,1059.5,136M_average,max_fallback,136M_average
';,211.5,448,200.0,859.5,136M_average,max_fallback,136M_average
'A,211.5,448,200,859.5,136M_average,max_fallback,136M_empirical
'B,211.5,448,286.2,945.7,136M_average,max_fallback,136M_empirical
'C,211.5,448,200.0,859.5,136M_average,max_fallback,136M_empirical
'D,211.5,448,206.4,865.9,136M_average,max_fallback,136M_empirical
'E,211.5,448,211.5,871.0,136M_average,max_fallback,136M_empirical
'F,211.5,448,244.5,904.0,136M_average,max_fallback,136M_empirical
'G,211.5,448,200,859.5,136M_average,max_fallback,136M_empirical
'H,211.5,448,200,859.5,136M_average,max_fallback,136M_empirical
'I,211.5,448,203.4,871.0,136M_average,max_fallback,136M_empirical
'J,211.5,448,244.5,904.0,136M_average,max_fallback,136M_mirror
'K,211.5,448,200.0,865.9,136M_average,max_fallback,136M_empirical
'L,211.5,448,211.5,871.0,136M_average,max_fallback,136M_empirical
'M,211.5,448,200,894.1,136M_average,max_fallback,136M_empirical
'N,211.5,448,227.4,886.9,136M_average,max_fallback,136M_empirical
'O,211.5,448,233.1,892.6,136M_average,max_fallback,136M_empirical
'P,211.5,448,200,859.5,136M_average,max_fallback,136M_empirical
'Q,211.5,448,218.4,877.9,136M_average,max_fallback,136M_empirical
'R,211.5,448,200,873.1,136M_average,max_fallback,136M_empirical
'S,211.5,448,200.0,871.0,136M_average,max_fallback,136M_empirical
'T,211.5,448,200.0,859.5,136M_average,max_fallback,136M_empirical
'U,211.5,448,213.6,873.1,136M_average,max_fallback,136M_empirical
'V,211.5,448,234.6,894.1,136M_average,max_fallback,136M_empirical
'W,211.5,448,200.0,892.6,136M_average,max_fallback,136M_empirical
'X,211.5,448,200,859.5,136M_average,max_fallback,136M_empirical
'Y,211.5,448,200.0,859.5,136M_average,max_fallback,136M_empirical
'Z,211.5,448,400,1059.5,136M_average,max_fallback,136M_empirical
'[,211.5,448,200.0,859.5,136M_average,max_fallback,136M_average
",'",213.9,448,200.0,861.9,136M_mirror,max_fallback,136M_average
",,",213.9,161,200.0,664.6774749924689,136M_mirror,136M_mirror,136M_mirror
",.",213.9,448,200,863.033915895355,136M_mirror,max_fallback,136M_mirror
",/",213.9,448,200.0,1069.7596756887303,136M_mirror,max_fallback,136M_average
",;",213.9,448,200.0,861.9,136M_mirror,max_fallback,136M_average
",A",213.9,448,200,861.9,136M_mirror,max_fallback,136M_empirical
",B",213.9,448,286.2,948.0999999999999,136M_mirror,max_fallback,136M_empirical
