key_pair,comfort_score,distance_score,dvorak7_score,engram_avg4_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram_avg4_score_normalized,time_score_normalized
'',-1.442261,38.0,0.428571,0.351,859.5,0.038493,0.281481,0.061224,0.351,0.425735
"',",-1.309704,80.941821,0.642857,0.637409,859.5,0.126864,0.599569,0.091837,0.637409,0.425735
'.,-1.363758,80.941821,0.428571,0.612591,859.5,0.090828,0.599569,0.061224,0.612591,0.425735
'/,-1.428568,61.494707,0.214286,0.305773,1059.5,0.047621,0.455516,0.030612,0.305773,0.719853
';,-1.108615,38.0,0.5,0.414864,859.5,0.260923,0.281481,0.071429,0.414864,0.425735
'A,-0.586998,38.0,0.785714,0.823955,859.5,0.608668,0.281481,0.112245,0.823955,0.425735
'B,-0.836557,107.339743,0.714286,0.760091,945.7,0.442295,0.795109,0.102041,0.760091,0.5525
'C,-0.793852,80.941821,0.785714,0.823955,859.5,0.470765,0.599569,0.112245,0.823955,0.425735
'D,-0.521334,38.0,0.857143,0.865773,865.9,0.652444,0.281481,0.122449,0.865773,0.435147
'E,-0.589028,77.293765,0.785714,0.845409,871.0,0.607315,0.572546,0.112245,0.845409,0.442647
'F,-0.448844,38.0,0.857143,0.877591,904.0,0.700771,0.281481,0.122449,0.877591,0.491176
'G,-0.836557,76.0,0.785714,0.760091,859.5,0.442295,0.562963,0.112245,0.760091,0.425735
'H,-1.442261,76.0,0.714286,0.708955,859.5,0.038493,0.562963,0.102041,0.708955,0.425735
'I,-1.25098,77.293765,0.642857,0.658864,871.0,0.166014,0.572546,0.091837,0.658864,0.442647
'J,-0.836557,38.0,0.785714,0.826455,904.0,0.442295,0.281481,0.112245,0.826455,0.491176
'K,-0.953484,38.0,0.785714,0.814636,865.9,0.364344,0.281481,0.112245,0.814636,0.435147
'L,-1.030731,38.0,0.714286,0.794273,871.0,0.312846,0.281481,0.102041,0.794273,0.442647
'M,-1.095099,80.941821,0.642857,0.651773,894.1,0.269934,0.599569,0.091837,0.651773,0.476618
'N,-1.442261,80.047592,0.571429,0.573545,886.9,0.038493,0.592945,0.081633,0.573545,0.466029
'O,-1.306993,77.293765,0.428571,0.643045,892.6,0.128671,0.572546,0.061224,0.643045,0.474412
'P,-1.442261,69.257338,0.214286,0.305773,859.5,0.038493,0.513017,0.030612,0.305773,0.425735
'Q,-0.776742,77.293765,0.714286,0.799136,877.9,0.482172,0.572546,0.102041,0.799136,0.452794
'R,-0.589028,77.293765,0.785714,0.838318,873.1,0.607315,0.572546,0.112245,0.838318,0.445735
'S,-0.555098,38.0,0.785714,0.845409,871.0,0.629935,0.281481,0.112245,0.845409,0.442647
'T,-0.836557,85.201695,0.714286,0.760091,859.5,0.442295,0.631124,0.102041,0.760091,0.425735
'U,-1.242302,77.293765,0.642857,0.651773,873.1,0.171799,0.572546,0.091837,0.651773,0.445735
'V,-0.685918,80.941821,0.785714,0.838318,894.1,0.542721,0.599569,0.112245,0.838318,0.476618
'W,-0.689815,77.293765,0.714286,0.829591,892.6,0.540123,0.572546,0.102041,0.829591,0.474412
'X,-0.828168,80.941821,0.714286,0.799136,859.5,0.447888,0.599569,0.102041,0.799136,0.425735
'Y,-1.442261,99.220911,0.571429,0.573545,859.5,0.038493,0.73497,0.081633,0.573545,0.425735
'Z,-0.803329,80.941821,0.714286,0.799136,1059.5,0.464448,0.599569,0.102041,0.799136,0.719853
'[,-1.442261,62.24773,0.142857,0.266727,859.5,0.038493,0.461094,0.020408,0.266727,0.425735
",'",-1.401832,80.941821,0.5,0.637409,861.9,0.065445,0.599569,0.071429,0.637409,0.429265
",,",-0.832472,42.941821,0.571429,0.483636,664.677475,0.445018,0.318088,0.081633,0.483636,0.139232
",.",-1.093728,85.883642,0.571429,0.822705,863.033916,0.270848,0.636175,0.081633,0.822705,0.430932
",/",-1.079011,85.883642,0.571429,0.782869,1069.759676,0.280659,0.636175,0.081633,0.782869,0.734941
",;",-0.995078,42.941821,0.571429,0.706182,861.9,0.336615,0.318088,0.081633,0.706182,0.429265
",A",-0.544293,42.941821,0.857143,0.892727,861.9,0.637138,0.318088,0.122449,0.892727,0.429265
",B",-0.793852,112.281564,0.785714,0.823955,948.1,0.470765,0.831715,0.112245,0.823955,0.556029
",C",-0.751148,85.883642,0.857143,0.892727,861.9,0.499235,0.636175,0.122449,0.892727,0.429265
",D",-0.478629,42.941821,0.928571,0.934545,640.803453,0.680914,0.318088,0.132653,0.934545,0.104123
",E",-0.546323,82.235587,0.857143,0.914182,720.009953,0.635785,0.609152,0.122449,0.914182,0.220603
",F",-0.406139,42.941821,0.928571,0.946364,908.998934,0.729241,0.318088,0.132653,0.946364,0.498528
",G",-0.793852,80.941821,0.857143,0.823955,775.663924,0.470765,0.599569,0.122449,0.823955,0.302447
",H",-1.401832,80.941821,0.714286,0.637409,870.615959,0.065445,0.599569,0.102041,0.637409,0.442082
",I",-1.079536,81.97119,0.285714,0.300545,845.807335,0.28031,0.607194,0.040816,0.300545,0.405599
",J",-0.815792,42.941821,0.785714,0.759818,733.549637,0.456139,0.318088,0.112245,0.759818,0.240514
",K",-0.892973,42.941821,0.428571,0.441182,882.493094,0.404685,0.318088,0.061224,0.441182,0.459549
",L",-0.938654,42.941821,0.428571,0.727636,638.646059,0.374231,0.318088,0.061224,0.727636,0.10095
",M",-0.751148,85.883642,0.785714,0.907091,900.408824,0.499235,0.636175,0.112245,0.907091,0.485895
",N",-1.401832,84.989413,0.714286,0.772818,889.3,0.065445,0.629551,0.102041,0.772818,0.469559
",O",-1.221264,82.235587,0.285714,0.591545,895.0,0.185824,0.609152,0.040816,0.591545,0.477941
",P",-1.401832,82.235587,0.428571,0.561091,861.9,0.065445,0.609152,0.061224,0.561091,0.429265
",Q",-0.734038,82.235587,0.785714,0.867909,880.3,0.510642,0.609152,0.112245,0.867909,0.456324
",R",-0.546323,82.235587,0.857143,0.907091,702.303185,0.635785,0.609152,0.122449,0.907091,0.194564
",S",-0.512393,42.941821,0.857143,0.914182,676.800338,0.658405,0.318088,0.122449,0.914182,0.157059
",T",-0.793852,90.143516,0.785714,0.823955,861.9,0.470765,0.66773,0.112245,0.823955,0.429265
",U",-1.185696,82.235587,0.642857,0.600273,758.480688,0.209536,0.609152,0.091837,0.600273,0.277177
",V",-0.643213,85.883642,0.857143,0.907091,663.5,0.571191,0.636175,0.122449,0.907091,0.1375
",W",-0.64711,82.235587,0.785714,0.898364,837.7043,0.568593,0.609152,0.112245,0.898364,0.393683
",X",-0.785464,85.883642,0.785714,0.867909,861.9,0.476358,0.636175,0.112245,0.867909,0.429265
",Y",-1.401832,104.162733,0.571429,0.517136,861.9,0.065445,0.771576,0.081633,0.517136,0.429265
",Z",-0.760624,85.883642,0.785714,0.867909,1061.9,0.492917,0.636175,0.112245,0.867909,0.723382
",[",-1.401832,90.143516,0.357143,0.517136,872.652291,0.065445,0.66773,0.05102,0.517136,0.445077
.',-1.442261,80.941821,0.285714,0.612591,1048.0,0.038493,0.599569,0.040816,0.612591,0.702941
".,",-0.969863,85.883642,0.714286,0.867909,883.380029,0.353424,0.636175,0.102041,0.867909,0.460853
..,-0.977061,42.941821,0.428571,0.434,1063.986673,0.348626,0.318088,0.061224,0.434,0.726451
./,-1.147859,85.883642,0.5,0.797886,1248.075636,0.234761,0.636175,0.071429,0.797886,0.99717
.;,-1.075631,42.941821,0.357143,0.681364,1048.0,0.282913,0.318088,0.05102,0.681364,0.702941
.A,-0.578609,42.941821,0.785714,0.867909,1048.0,0.614261,0.318088,0.112245,0.867909,0.702941
.B,-0.828168,112.281564,0.714286,0.799136,1134.2,0.447888,0.831715,0.102041,0.799136,0.829706
.C,-0.785464,85.883642,0.785714,0.867909,1048.0,0.476358,0.636175,0.112245,0.867909,0.702941
.D,-0.512945,42.941821,0.857143,0.909727,1054.4,0.658037,0.318088,0.122449,0.909727,0.712353
.E,-0.580639,82.235587,0.785714,0.889364,838.026863,0.612907,0.609152,0.112245,0.889364,0.394157
.F,-0.440455,42.941821,0.857143,0.921545,1093.220488,0.706363,0.318088,0.122449,0.921545,0.769442
